DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,10.15,10.35,9.8,10.25,13.6,3.5,DUCON
2021-10-28,10.55,10.75,10.3,10.3,13.6,3.5,DUCON
2021-10-27,10.9,11.3,10.8,10.8,13.6,3.5,DUCON
2021-10-26,11.4,11.7,11.35,11.35,13.6,3.5,DUCON
2021-10-25,12.5,12.85,11.9,11.9,13.6,3.5,DUCON
2021-10-22,13.35,13.35,12.45,12.5,13.6,3.5,DUCON
2021-10-21,13.15,13.2,12.6,13.05,13.6,3.5,DUCON
2021-10-20,13.1,13.6,12.45,12.65,13.6,3.45,DUCON
2021-10-19,13.45,13.6,12.45,13.1,13.6,3.45,DUCON
2021-10-18,13.1,13.1,13.1,13.1,13.1,3.45,DUCON
2021-10-14,12.5,12.5,12.5,12.5,12.75,3.45,DUCON
2021-10-13,11.95,11.95,11.95,11.95,12.75,3.45,DUCON
2021-10-12,11.4,11.4,11.4,11.4,12.75,3.45,DUCON
2021-06-16,12.35,12.75,11.8,12.1,12.75,3.45,DUCON
2021-06-15,11.9,12.35,11.5,12.35,12.35,3.45,DUCON
2021-06-14,11.15,11.8,10.7,11.8,11.8,3.45,DUCON
2021-06-11,11.25,11.25,10.4,11.25,11.25,3.45,DUCON
2021-06-10,9.75,10.75,9.75,10.75,11.25,3.45,DUCON
2021-06-09,11.25,11.25,10.25,10.25,11.25,3.45,DUCON
2021-06-08,10.75,10.75,10.75,10.75,10.75,3.45,DUCON
2021-06-07,10.25,10.25,10.2,10.25,10.25,3.45,DUCON
2021-06-04,9.8,9.8,9.5,9.8,9.8,3.45,DUCON
2021-06-03,9.2,9.35,9.2,9.35,9.35,3.45,DUCON
2021-06-02,8.1,8.5,8.1,8.5,8.5,3.45,DUCON
2021-06-01,7.25,7.75,7.0,7.75,8.35,3.45,DUCON
2021-05-31,7.35,7.35,7.0,7.05,8.35,3.45,DUCON
2021-05-28,7.1,7.3,7.05,7.15,8.35,3.45,DUCON
2021-05-27,7.2,7.2,6.6,7.0,8.35,3.45,DUCON
2021-05-26,7.15,7.2,6.95,7.05,8.35,3.45,DUCON
2021-05-25,7.35,7.35,7.0,7.15,8.35,3.45,DUCON
2021-05-24,7.0,7.3,6.75,7.15,8.35,3.45,DUCON
2021-05-21,7.15,7.15,6.7,6.9,8.35,3.45,DUCON
2021-05-20,6.9,7.25,6.7,6.9,8.35,3.45,DUCON
2021-05-19,7.1,7.3,6.8,6.9,8.35,3.45,DUCON
2021-05-18,7.15,7.15,6.9,6.9,8.35,3.45,DUCON
2021-05-17,7.05,7.2,6.9,6.95,8.35,3.45,DUCON
2021-05-14,7.25,7.25,6.95,7.0,8.35,3.45,DUCON
2021-05-12,7.25,7.3,6.8,6.95,8.35,3.45,DUCON
2021-05-11,7.4,7.4,7.0,7.15,8.35,3.45,DUCON
2021-05-10,7.45,7.45,7.05,7.15,8.35,3.45,DUCON
2021-05-07,7.15,7.4,7.0,7.2,8.35,3.45,DUCON
2021-05-06,6.95,7.25,6.95,7.1,8.35,3.45,DUCON
2021-05-05,7.2,7.4,6.6,7.1,8.35,3.45,DUCON
2021-05-04,7.2,7.45,6.85,7.1,8.35,3.45,DUCON
2021-05-03,7.3,7.55,7.1,7.2,8.35,3.45,DUCON
2021-04-30,7.1,7.5,7.0,7.25,8.35,3.45,DUCON
2021-04-29,7.05,7.7,7.0,7.15,8.35,3.45,DUCON
2021-04-28,7.8,7.85,7.0,7.35,8.35,3.45,DUCON
2021-04-27,8.35,8.35,7.25,7.35,8.35,3.45,DUCON
2021-04-26,7.6,8.1,7.0,7.7,8.1,3.45,DUCON
2021-04-23,7.45,7.45,7.0,7.4,7.8,3.45,DUCON
2021-04-22,6.6,7.25,6.6,7.05,7.8,3.45,DUCON
2021-04-20,7.0,7.2,6.85,7.15,7.8,3.45,DUCON
2021-04-19,7.0,7.2,6.55,7.0,7.8,3.45,DUCON
2021-04-16,7.0,7.25,6.6,7.1,7.8,3.45,DUCON
2021-04-15,6.55,6.9,5.9,6.75,7.8,3.45,DUCON
2021-04-13,6.25,6.8,6.25,6.45,7.8,3.45,DUCON
2021-04-12,6.8,6.8,6.15,6.25,7.8,3.45,DUCON
