DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,195.0,199.05,192.0,197.9,254.05,163.35,STERTOOLS
2021-10-28,198.0,200.35,192.7,194.8,254.05,163.35,STERTOOLS
2021-10-27,205.0,205.0,196.5,197.55,254.05,163.35,STERTOOLS
2021-10-26,194.8,203.55,194.8,201.6,254.05,163.35,STERTOOLS
2021-10-25,196.1,197.85,192.0,196.6,254.05,163.35,STERTOOLS
2021-10-22,203.25,206.0,195.5,199.0,254.05,163.35,STERTOOLS
2021-10-21,199.9,206.0,195.0,201.65,254.05,163.35,STERTOOLS
2021-10-20,200.0,201.0,194.85,196.2,254.05,163.35,STERTOOLS
2021-10-19,200.0,204.1,195.1,198.15,254.05,163.35,STERTOOLS
2021-10-18,209.0,209.0,202.6,203.85,254.05,163.35,STERTOOLS
2021-10-14,205.4,209.7,204.1,205.6,254.05,163.35,STERTOOLS
2021-10-13,207.25,212.0,203.15,206.2,254.05,163.35,STERTOOLS
2021-10-12,208.0,213.2,205.6,207.25,254.05,163.35,STERTOOLS
2021-10-11,211.0,213.95,206.1,207.4,254.05,163.35,STERTOOLS
2021-10-08,219.5,219.5,212.9,213.9,254.05,163.35,STERTOOLS
2021-10-07,219.9,225.0,212.0,217.0,254.05,163.35,STERTOOLS
2021-10-06,210.0,222.0,203.85,216.9,254.05,163.35,STERTOOLS
2021-10-05,193.25,210.0,193.25,207.4,254.05,163.35,STERTOOLS
2021-10-04,193.6,197.25,192.5,194.75,254.05,163.35,STERTOOLS
2021-10-01,196.7,196.7,193.25,194.0,254.05,163.35,STERTOOLS
2021-09-30,199.8,199.8,195.5,196.7,254.05,163.35,STERTOOLS
2021-09-29,196.2,198.5,195.05,197.8,254.05,163.35,STERTOOLS
2021-09-28,199.95,200.55,194.05,195.4,254.05,163.35,STERTOOLS
2021-09-27,199.4,200.1,196.3,198.2,254.05,163.35,STERTOOLS
2021-09-24,201.95,202.55,196.25,197.4,254.05,159.95,STERTOOLS
2021-09-23,196.9,202.75,195.25,200.8,254.05,159.95,STERTOOLS
2021-09-22,193.8,199.0,192.15,197.65,254.05,159.95,STERTOOLS
2021-09-21,190.35,193.75,190.1,191.75,254.05,159.95,STERTOOLS
2021-09-20,199.0,201.45,190.55,193.6,254.05,159.95,STERTOOLS
2021-09-17,203.45,203.45,196.0,198.7,254.05,159.95,STERTOOLS
