DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,99.8,102.35,97.4,98.2,104.4,36.6,TBZ
2021-10-28,100.6,104.4,98.6,101.55,104.4,36.6,TBZ
2021-10-27,89.8,100.95,89.35,99.7,100.95,36.6,TBZ
2021-10-26,88.8,92.55,88.8,90.1,96.25,36.6,TBZ
2021-10-25,91.0,91.1,85.5,88.0,96.25,36.6,TBZ
2021-10-22,90.05,94.8,89.6,90.55,96.25,36.6,TBZ
2021-10-21,86.85,95.6,85.6,89.6,96.25,36.6,TBZ
2021-10-20,87.8,88.4,85.2,85.9,96.25,36.6,TBZ
2021-10-19,91.6,92.45,87.1,87.9,96.25,36.6,TBZ
2021-10-18,88.65,96.0,88.5,91.6,96.25,36.6,TBZ
2021-10-14,86.7,90.0,85.8,87.8,96.25,36.3,TBZ
2021-10-13,88.5,88.7,85.95,86.25,96.25,36.3,TBZ
2021-10-12,86.2,88.9,85.8,87.85,96.25,36.3,TBZ
2021-10-11,87.15,87.95,85.25,86.05,96.25,36.3,TBZ
2021-10-08,91.4,92.9,86.2,86.95,96.25,36.3,TBZ
2021-10-07,83.5,94.4,83.5,91.4,96.25,36.3,TBZ
2021-10-06,82.9,84.85,79.5,80.4,96.25,36.3,TBZ
2021-10-05,84.1,84.5,82.2,82.65,96.25,36.3,TBZ
2021-10-04,80.75,85.2,80.0,84.35,96.25,36.3,TBZ
2021-10-01,78.0,81.25,77.95,80.05,96.25,36.0,TBZ
2021-09-30,77.3,80.8,76.65,78.6,96.25,36.0,TBZ
2021-09-29,76.1,78.3,73.6,77.2,96.25,36.0,TBZ
2021-09-28,74.3,77.4,74.3,76.1,96.25,36.0,TBZ
2021-09-27,73.65,75.9,73.65,74.45,96.25,36.0,TBZ
2021-09-24,76.35,77.25,74.75,75.1,96.25,32.4,TBZ
2021-09-23,76.2,77.95,75.9,76.35,96.25,32.4,TBZ
2021-09-22,76.3,76.8,74.8,75.25,96.25,32.4,TBZ
2021-09-21,74.9,76.35,73.6,74.8,96.25,32.4,TBZ
2021-09-20,74.3,76.75,74.1,74.55,96.25,32.4,TBZ
2021-09-17,78.0,78.9,75.7,76.05,96.25,32.4,TBZ
2021-09-16,77.25,78.7,77.25,77.45,96.25,32.4,TBZ
2021-09-15,76.05,78.35,76.05,77.4,96.25,32.4,TBZ
2021-09-14,76.4,76.95,75.15,75.6,96.25,32.4,TBZ
2021-09-13,74.5,77.55,74.5,75.75,96.25,32.4,TBZ
2021-09-09,77.45,77.45,75.2,75.85,96.25,32.4,TBZ
2021-09-08,76.95,77.4,76.1,76.75,96.25,32.4,TBZ
2021-09-07,78.85,79.45,77.5,78.1,96.25,32.4,TBZ
2021-09-06,78.45,80.4,78.05,78.4,96.25,32.4,TBZ
2021-09-03,76.3,80.65,75.5,78.1,96.25,32.4,TBZ
2021-09-02,75.3,76.9,74.75,76.0,96.25,32.4,TBZ
2021-09-01,76.0,76.75,74.0,74.8,96.25,32.4,TBZ
2021-08-31,74.5,77.85,73.75,76.05,96.25,32.4,TBZ
2021-08-30,72.6,76.0,72.6,74.3,96.25,32.4,TBZ
2021-08-27,72.95,73.15,72.0,72.8,96.25,32.4,TBZ
2021-08-26,72.1,73.5,72.1,72.55,96.25,32.4,TBZ
2021-08-25,72.95,74.3,71.85,72.1,96.25,32.4,TBZ
2021-08-24,72.0,73.45,70.6,72.55,96.25,32.4,TBZ
2021-08-23,73.1,73.8,69.65,70.0,96.25,32.4,TBZ
2021-08-20,73.05,74.2,72.0,72.25,96.25,32.4,TBZ
2021-08-18,76.9,79.35,73.5,74.3,96.25,32.4,TBZ
2021-08-17,81.6,81.95,74.1,77.65,96.25,32.4,TBZ
2021-08-16,78.65,80.45,77.3,79.4,96.25,32.4,TBZ
2021-08-13,76.35,79.65,75.3,78.75,96.25,32.4,TBZ
2021-08-12,72.05,76.4,72.05,75.9,96.25,32.4,TBZ
2021-08-11,72.8,74.0,68.55,71.6,96.25,32.4,TBZ
2021-08-10,79.95,82.35,74.0,75.5,96.25,32.4,TBZ
2021-08-09,83.1,84.5,79.85,80.65,96.25,32.4,TBZ
2021-08-06,80.95,84.0,80.95,82.5,96.25,32.4,TBZ
2021-08-05,83.9,84.65,78.35,81.0,96.25,32.4,TBZ
2021-08-04,90.0,91.1,82.2,83.9,96.25,32.4,TBZ
2021-08-03,85.9,92.25,85.4,90.45,96.25,32.4,TBZ
2021-08-02,85.0,88.8,84.7,85.9,96.25,32.4,TBZ
2021-07-30,85.75,87.85,83.85,84.25,96.25,32.05,TBZ
2021-07-29,88.65,89.4,85.6,86.1,96.25,32.05,TBZ
2021-07-28,89.75,90.9,84.5,88.25,96.25,32.05,TBZ
2021-07-27,88.4,91.0,86.1,89.1,96.25,32.05,TBZ
2021-07-26,84.0,89.5,83.15,87.5,96.25,32.05,TBZ
2021-07-23,84.0,85.0,82.55,83.75,96.25,29.1,TBZ
2021-07-22,81.6,87.0,81.6,83.75,96.25,29.1,TBZ
2021-07-20,81.85,82.6,80.5,81.2,96.25,29.1,TBZ
2021-07-19,81.25,82.6,80.15,81.85,96.25,29.1,TBZ
2021-07-16,81.25,83.0,81.2,81.5,96.25,28.35,TBZ
2021-07-15,83.7,84.3,81.1,81.85,96.25,28.35,TBZ
2021-07-14,82.3,85.5,82.15,82.8,96.25,28.35,TBZ
2021-07-13,81.0,83.3,80.8,82.3,96.25,28.35,TBZ
2021-07-12,80.7,82.45,80.25,80.5,96.25,28.35,TBZ
2021-07-09,80.95,81.3,79.65,80.55,96.25,28.35,TBZ
2021-07-08,83.05,84.4,79.15,80.6,96.25,28.35,TBZ
2021-07-07,85.5,86.1,83.15,83.85,96.25,28.35,TBZ
2021-07-06,79.1,84.7,79.1,83.9,96.25,28.35,TBZ
2021-07-05,79.9,82.5,78.8,79.25,96.25,28.35,TBZ
2021-07-02,78.5,80.5,78.35,78.75,96.25,28.15,TBZ
2021-07-01,79.3,80.0,78.0,78.5,96.25,28.15,TBZ
2021-06-30,79.05,79.95,78.25,78.55,96.25,28.15,TBZ
2021-06-29,79.7,81.0,78.1,78.6,96.25,28.15,TBZ
2021-06-28,80.8,82.9,79.55,80.2,96.25,28.15,TBZ
2021-06-25,81.4,82.75,79.45,80.15,96.25,28.15,TBZ
2021-06-24,81.05,83.25,80.1,80.4,96.25,28.15,TBZ
2021-06-23,83.0,83.35,80.25,80.5,96.25,28.15,TBZ
2021-06-22,82.4,83.85,81.2,82.7,96.25,28.15,TBZ
2021-06-21,79.2,81.85,77.0,80.9,96.25,28.15,TBZ
2021-06-18,84.1,84.55,77.25,80.35,96.25,28.0,TBZ
2021-06-17,83.95,87.35,82.35,83.1,96.25,28.0,TBZ
2021-06-16,80.0,82.85,78.6,81.8,96.25,28.0,TBZ
2021-06-15,79.9,80.95,78.5,79.4,96.25,28.0,TBZ
2021-06-14,80.2,81.15,78.2,79.35,96.25,28.0,TBZ
2021-06-11,82.4,82.4,80.1,80.6,96.25,25.3,TBZ
2021-06-10,81.1,82.3,80.65,81.05,96.25,25.3,TBZ
2021-06-09,81.4,84.35,80.5,81.15,96.25,25.3,TBZ
2021-06-08,82.5,82.85,80.1,80.7,96.25,25.3,TBZ
2021-06-07,84.55,84.6,81.35,82.0,96.25,25.3,TBZ
2021-06-04,83.0,88.85,82.5,84.55,96.25,21.0,TBZ
2021-06-03,76.0,81.25,75.7,80.65,96.25,21.0,TBZ
2021-06-02,74.9,76.65,74.05,75.65,96.25,21.0,TBZ
2021-06-01,74.65,78.2,74.5,75.2,96.25,21.0,TBZ
2021-05-31,76.4,76.45,74.25,74.65,96.25,21.0,TBZ
2021-05-28,79.5,79.9,76.0,76.4,96.25,19.8,TBZ
2021-05-27,79.3,79.9,77.35,77.95,96.25,19.8,TBZ
2021-05-26,79.7,82.65,79.0,79.3,96.25,19.8,TBZ
2021-05-25,78.95,82.4,77.15,78.4,96.25,19.8,TBZ
2021-05-24,77.95,78.7,75.75,76.0,96.25,19.8,TBZ
2021-05-21,77.7,82.0,75.9,78.15,96.25,19.65,TBZ
2021-05-20,71.25,76.4,70.4,75.1,96.25,19.65,TBZ
2021-05-19,71.95,72.3,69.55,70.3,96.25,19.65,TBZ
2021-05-18,71.95,72.2,70.65,71.3,96.25,19.65,TBZ
2021-05-17,72.4,73.2,70.25,70.75,96.25,19.65,TBZ
2021-05-14,76.5,76.5,71.3,72.2,96.25,19.65,TBZ
2021-05-12,76.5,77.8,73.8,74.95,96.25,19.65,TBZ
2021-05-11,66.9,74.35,66.0,73.25,96.25,19.65,TBZ
2021-05-10,66.35,68.9,65.4,67.5,96.25,19.65,TBZ
2021-05-07,64.35,67.5,63.1,65.85,96.25,19.65,TBZ
2021-05-06,64.0,65.45,62.8,63.45,96.25,19.65,TBZ
2021-05-05,62.8,64.5,61.75,63.5,96.25,19.65,TBZ
2021-05-04,63.0,64.5,61.4,62.25,96.25,19.65,TBZ
2021-05-03,63.0,66.5,62.4,64.85,96.25,19.65,TBZ
2021-04-30,62.0,64.8,61.8,62.75,96.25,19.65,TBZ
2021-04-29,64.3,64.3,62.2,62.55,96.25,19.65,TBZ
2021-04-28,63.05,64.0,62.85,63.45,96.25,19.65,TBZ
2021-04-27,61.95,64.3,61.8,62.85,96.25,19.65,TBZ
2021-04-26,62.0,62.4,60.5,61.5,96.25,19.65,TBZ
2021-04-23,62.0,62.4,58.95,61.1,96.25,19.65,TBZ
2021-04-22,60.0,63.3,58.2,61.25,96.25,19.65,TBZ
2021-04-20,59.8,61.5,59.7,59.8,96.25,19.65,TBZ
2021-04-19,62.0,62.0,58.95,59.45,96.25,19.65,TBZ
2021-04-16,62.65,63.0,62.05,62.55,96.25,19.65,TBZ
2021-04-15,63.0,63.1,61.2,62.65,96.25,19.65,TBZ
2021-04-13,63.5,64.05,61.5,63.1,96.25,19.65,TBZ
2021-04-12,64.1,67.0,60.0,61.8,96.25,19.65,TBZ
2021-04-09,67.4,68.6,66.3,67.15,96.25,19.65,TBZ
2021-04-08,65.5,67.5,65.35,65.95,96.25,19.65,TBZ
2021-04-07,64.7,65.8,63.2,64.95,96.25,19.65,TBZ
2021-04-06,65.1,66.0,64.05,64.7,96.25,19.65,TBZ
2021-04-05,65.7,65.7,62.95,64.55,96.25,19.65,TBZ
2021-04-01,62.95,68.75,62.45,65.85,96.25,17.35,TBZ
2021-03-31,61.45,63.6,61.4,62.15,96.25,17.35,TBZ
2021-03-30,64.55,64.55,61.25,61.85,96.25,17.35,TBZ
2021-03-26,64.5,66.05,62.3,63.0,96.25,16.45,TBZ
2021-03-25,68.35,68.4,62.75,63.55,96.25,16.45,TBZ
2021-03-24,67.7,69.65,66.05,66.6,96.25,16.45,TBZ
2021-03-23,68.8,69.45,67.0,67.7,96.25,16.45,TBZ
2021-03-22,67.0,69.7,66.85,67.8,96.25,16.45,TBZ
2021-03-19,67.05,67.2,63.2,66.15,96.25,16.45,TBZ
2021-03-18,73.0,74.0,67.5,67.9,96.25,16.45,TBZ
2021-03-17,73.65,74.5,71.35,72.15,96.25,16.45,TBZ
2021-03-16,76.8,78.6,72.15,73.0,96.25,16.45,TBZ
2021-03-15,77.4,77.45,74.1,76.2,96.25,16.45,TBZ
2021-03-12,79.4,82.9,75.65,76.85,96.25,16.45,TBZ
2021-03-10,72.95,73.4,71.7,72.25,96.25,16.45,TBZ
2021-03-09,76.5,76.55,68.1,71.4,96.25,16.45,TBZ
2021-03-08,76.55,77.2,75.0,75.65,96.25,16.45,TBZ
2021-03-05,77.7,78.4,74.35,76.45,96.25,16.45,TBZ
2021-03-04,76.05,80.95,75.4,77.9,96.25,16.45,TBZ
2021-03-03,75.5,76.65,74.8,75.4,96.25,16.45,TBZ
2021-03-02,78.0,78.65,75.25,75.95,96.25,16.45,TBZ
2021-03-01,74.15,79.0,74.15,77.35,96.25,16.45,TBZ
2021-02-26,75.3,75.3,72.5,73.3,96.25,16.45,TBZ
2021-02-25,75.1,76.8,75.0,75.4,96.25,16.45,TBZ
2021-02-24,74.9,76.9,74.2,75.1,96.25,16.45,TBZ
2021-02-23,75.0,75.0,72.4,74.45,96.25,16.45,TBZ
2021-02-22,75.0,75.7,71.75,72.25,96.25,16.45,TBZ
2021-02-19,77.5,78.1,73.15,74.4,96.25,16.45,TBZ
2021-02-18,78.95,79.15,76.6,77.15,96.25,16.45,TBZ
2021-02-17,78.65,79.65,77.7,78.65,96.25,16.45,TBZ
2021-02-16,80.3,81.8,77.45,78.15,96.25,16.45,TBZ
2021-02-15,81.45,82.4,79.3,80.05,96.25,16.45,TBZ
2021-02-12,81.5,83.2,79.8,80.75,96.25,16.45,TBZ
2021-02-11,80.4,84.15,78.25,81.8,96.25,16.45,TBZ
2021-02-10,80.6,82.1,78.15,80.7,96.25,16.45,TBZ
2021-02-09,87.0,87.0,80.0,80.55,96.25,16.45,TBZ
2021-02-08,75.8,77.9,71.9,75.45,96.25,16.45,TBZ
2021-02-05,77.2,77.95,74.7,75.3,96.25,16.45,TBZ
2021-02-04,76.0,77.85,75.45,75.75,96.25,16.45,TBZ
2021-02-03,76.2,77.9,74.75,75.65,96.25,16.45,TBZ
2021-02-02,78.4,80.8,74.5,75.6,96.25,16.45,TBZ
2021-02-01,73.55,78.9,70.6,78.05,96.25,16.45,TBZ
2021-01-29,72.1,73.5,71.0,71.75,96.25,16.45,TBZ
2021-01-28,69.95,73.8,68.6,71.7,96.25,16.45,TBZ
2021-01-27,73.75,73.9,69.55,70.7,96.25,16.45,TBZ
2021-01-25,78.3,78.3,71.8,72.5,96.25,16.45,TBZ
2021-01-22,77.75,79.0,74.2,75.7,96.25,16.45,TBZ
2021-01-21,79.7,81.3,73.65,74.95,96.25,16.45,TBZ
2021-01-20,78.25,81.9,78.0,79.15,96.25,16.45,TBZ
2021-01-19,71.4,77.4,71.4,77.4,96.25,16.45,TBZ
2021-01-18,73.0,75.7,69.2,70.4,96.25,16.45,TBZ
2021-01-15,80.5,80.9,75.55,75.95,96.25,16.45,TBZ
2021-01-14,81.5,83.5,79.1,79.95,96.25,16.45,TBZ
2021-01-13,84.6,86.85,81.3,84.15,96.25,16.45,TBZ
2021-01-12,85.8,87.5,83.55,84.3,96.25,16.45,TBZ
2021-01-11,82.5,88.5,78.6,85.45,96.25,16.45,TBZ
2021-01-08,90.0,90.0,84.6,84.9,96.25,16.45,TBZ
2021-01-07,91.8,96.25,90.3,93.95,96.25,16.45,TBZ
2021-01-06,73.7,88.7,73.0,87.5,88.7,16.45,TBZ
2021-01-05,63.45,75.5,62.65,73.95,75.5,16.45,TBZ
2021-01-04,64.35,65.75,63.5,64.4,66.05,16.45,TBZ
2021-01-01,63.0,66.05,61.8,64.35,66.05,16.45,TBZ
2020-12-31,60.2,65.8,58.6,62.8,65.8,16.45,TBZ
2020-12-30,54.9,63.75,53.5,61.0,63.75,16.45,TBZ
2020-12-29,58.5,58.5,53.1,54.05,58.5,16.45,TBZ
2020-12-28,47.95,56.7,47.95,55.9,56.7,16.45,TBZ
2020-12-24,48.3,48.7,47.0,47.25,52.8,16.45,TBZ
2020-12-23,44.9,50.45,44.9,47.9,52.8,16.45,TBZ
2020-12-22,45.7,46.0,42.4,44.55,52.8,16.45,TBZ
2020-12-21,50.3,51.1,44.6,45.15,52.8,16.45,TBZ
2020-12-18,50.45,52.8,49.05,50.2,52.8,16.45,TBZ
2020-12-17,48.55,52.3,47.7,50.0,52.3,16.45,TBZ
2020-12-16,46.95,51.2,46.8,48.3,51.2,16.45,TBZ
2020-12-15,48.3,48.45,46.35,46.95,50.3,16.45,TBZ
