DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,128.3,131.25,124.3,126.95,196.75,32.15,HINDCOPPER
2021-10-28,132.0,133.0,128.1,129.05,196.75,32.15,HINDCOPPER
2021-10-27,137.5,138.55,132.9,134.5,196.75,32.15,HINDCOPPER
2021-10-26,130.85,137.5,129.6,136.5,196.75,32.15,HINDCOPPER
2021-10-25,130.75,135.0,125.95,130.1,196.75,32.15,HINDCOPPER
2021-10-22,136.0,138.4,127.5,129.65,196.75,31.95,HINDCOPPER
2021-10-21,144.65,148.45,135.0,136.7,196.75,31.95,HINDCOPPER
2021-10-20,149.05,149.15,139.7,143.05,196.75,31.95,HINDCOPPER
2021-10-19,152.75,159.4,145.4,149.15,196.75,31.95,HINDCOPPER
2021-10-18,138.1,152.7,138.0,149.2,196.75,31.95,HINDCOPPER
2021-10-14,129.0,137.95,129.0,132.35,196.75,31.3,HINDCOPPER
2021-10-13,127.0,127.35,125.3,125.95,196.75,31.3,HINDCOPPER
2021-10-12,125.9,128.5,125.15,126.35,196.75,31.3,HINDCOPPER
2021-10-11,127.8,128.0,124.8,125.85,196.75,31.3,HINDCOPPER
2021-10-08,128.4,128.8,124.45,127.0,196.75,31.3,HINDCOPPER
2021-10-07,127.45,130.5,126.3,127.05,196.75,31.3,HINDCOPPER
2021-10-06,125.25,133.7,124.2,125.0,196.75,31.3,HINDCOPPER
2021-10-05,122.4,123.85,118.6,120.05,196.75,31.3,HINDCOPPER
2021-10-04,110.85,129.7,110.6,121.3,196.75,31.3,HINDCOPPER
2021-10-01,109.9,111.8,109.2,109.85,196.75,31.3,HINDCOPPER
2021-09-30,113.7,114.6,109.5,109.95,196.75,31.3,HINDCOPPER
2021-09-29,109.8,114.8,109.0,112.85,196.75,31.3,HINDCOPPER
2021-09-28,110.05,113.5,109.4,109.95,196.75,31.3,HINDCOPPER
2021-09-27,111.1,111.55,109.0,109.9,196.75,31.3,HINDCOPPER
2021-09-24,113.75,114.0,109.65,110.25,196.75,31.3,HINDCOPPER
2021-09-23,113.25,114.9,112.6,113.1,196.75,31.3,HINDCOPPER
2021-09-22,110.05,112.7,110.0,111.4,196.75,31.3,HINDCOPPER
2021-09-21,111.95,112.8,108.2,109.1,196.75,31.3,HINDCOPPER
2021-09-20,115.0,115.2,110.2,110.8,196.75,31.3,HINDCOPPER
2021-09-17,116.9,117.9,116.6,116.8,196.75,31.3,HINDCOPPER
2021-09-16,118.7,119.0,116.6,116.95,196.75,31.3,HINDCOPPER
2021-09-15,126.5,127.05,124.05,124.6,196.75,31.3,HINDCOPPER
2021-09-14,125.45,129.75,124.1,126.0,196.75,31.3,HINDCOPPER
2021-09-13,118.9,125.7,118.25,124.6,196.75,31.3,HINDCOPPER
2021-09-09,117.5,117.5,115.2,115.9,196.75,31.3,HINDCOPPER
2021-09-08,117.3,118.25,116.1,116.95,196.75,31.3,HINDCOPPER
2021-09-07,119.8,120.6,117.0,117.45,196.75,31.3,HINDCOPPER
2021-09-06,120.0,120.9,118.15,119.15,196.75,31.3,HINDCOPPER
2021-09-03,119.55,121.3,118.5,119.1,196.75,31.3,HINDCOPPER
2021-09-02,117.95,120.95,117.7,119.4,196.75,31.3,HINDCOPPER
2021-09-01,119.2,119.5,116.25,117.3,196.75,31.3,HINDCOPPER
2021-08-31,119.95,122.4,117.3,118.95,196.75,31.3,HINDCOPPER
2021-08-30,116.95,120.85,116.95,119.8,196.75,31.3,HINDCOPPER
2021-08-27,115.55,117.6,115.0,115.7,196.75,31.3,HINDCOPPER
