DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,231.8,233.1,227.5,229.55,275.35,211.4,PETRONET
2021-10-28,231.85,234.6,228.95,231.8,275.35,211.4,PETRONET
2021-10-27,232.1,234.4,231.55,232.0,275.35,211.4,PETRONET
2021-10-26,228.6,232.55,228.3,232.05,275.35,211.4,PETRONET
2021-10-25,229.7,231.75,227.0,229.05,275.35,211.4,PETRONET
2021-10-22,232.75,232.75,228.0,229.75,275.35,211.4,PETRONET
2021-10-21,233.2,234.3,229.2,233.0,275.35,211.4,PETRONET
2021-10-20,230.85,233.0,227.8,230.95,275.35,211.4,PETRONET
2021-10-19,234.55,235.8,230.0,230.75,275.35,211.4,PETRONET
2021-10-18,243.2,243.55,233.0,234.35,275.35,211.4,PETRONET
2021-10-14,233.45,235.8,229.8,230.5,275.35,207.25,PETRONET
2021-10-13,238.0,238.5,232.55,233.2,275.35,207.25,PETRONET
2021-10-12,231.4,236.95,230.05,236.2,275.35,207.25,PETRONET
2021-10-11,228.9,231.7,228.4,230.35,275.35,207.25,PETRONET
2021-10-08,231.0,231.75,227.5,227.8,275.35,207.25,PETRONET
2021-10-07,231.15,232.25,229.3,230.4,275.35,207.25,PETRONET
2021-10-06,232.95,232.95,229.35,230.25,275.35,207.25,PETRONET
2021-10-05,235.75,235.75,230.55,232.35,275.35,207.25,PETRONET
2021-10-04,235.5,236.45,233.85,235.9,275.35,207.25,PETRONET
2021-10-01,236.0,238.95,234.35,235.6,275.35,207.25,PETRONET
2021-09-30,239.5,240.5,234.95,238.55,275.35,207.25,PETRONET
2021-09-29,239.0,242.9,236.55,239.5,275.35,207.25,PETRONET
2021-09-28,237.5,241.8,236.6,239.4,275.35,207.25,PETRONET
2021-09-27,236.0,238.0,233.8,237.4,275.35,207.25,PETRONET
2021-09-24,234.5,238.0,234.25,235.4,275.35,207.25,PETRONET
2021-09-23,233.2,236.65,232.9,233.8,275.35,207.25,PETRONET
2021-09-22,232.5,234.6,231.75,233.15,275.35,207.25,PETRONET
2021-09-21,227.0,232.65,226.8,231.75,275.35,207.25,PETRONET
2021-09-20,229.5,231.2,226.95,228.3,275.35,207.25,PETRONET
2021-09-17,233.45,233.85,230.05,232.2,275.35,207.25,PETRONET
2021-09-16,233.15,233.5,231.6,232.8,275.35,207.25,PETRONET
2021-09-15,232.4,233.8,231.75,233.15,275.35,207.25,PETRONET
2021-09-14,231.0,232.1,230.25,231.05,275.35,207.25,PETRONET
2021-09-13,231.6,232.6,228.95,230.05,275.35,207.25,PETRONET
2021-09-09,230.0,233.8,229.8,231.6,275.35,207.25,PETRONET
2021-09-08,232.25,232.25,228.75,230.5,275.35,207.25,PETRONET
2021-09-07,230.1,235.75,230.1,231.25,275.35,207.25,PETRONET
2021-09-06,231.85,231.85,227.7,230.5,275.35,207.25,PETRONET
2021-09-03,227.15,230.0,226.75,229.8,275.35,207.25,PETRONET
2021-09-02,226.9,228.5,226.55,227.15,275.35,207.25,PETRONET
2021-09-01,227.6,229.9,226.35,227.75,275.35,207.25,PETRONET
2021-08-31,230.3,230.5,226.8,227.6,275.35,207.25,PETRONET
2021-08-30,229.3,231.0,227.5,230.3,275.35,207.25,PETRONET
2021-08-27,227.6,229.3,225.4,227.85,275.35,207.25,PETRONET
2021-08-26,228.85,230.75,225.45,227.6,275.35,207.25,PETRONET
2021-08-25,228.45,230.35,227.25,228.1,275.35,207.25,PETRONET
2021-08-24,225.75,230.1,225.75,228.45,275.35,207.25,PETRONET
2021-08-23,228.0,231.0,223.0,225.7,275.35,207.25,PETRONET
2021-08-20,221.0,227.65,220.2,226.9,275.35,207.25,PETRONET
2021-08-18,224.95,225.2,221.85,223.65,275.35,207.25,PETRONET
2021-08-17,216.15,225.2,216.15,223.65,275.35,207.25,PETRONET
2021-08-16,217.65,218.0,213.5,214.55,275.35,207.25,PETRONET
2021-08-13,215.9,216.5,214.45,215.8,275.35,207.25,PETRONET
2021-08-12,215.0,216.0,213.6,214.3,275.35,207.25,PETRONET
2021-08-11,214.35,215.8,211.5,214.25,275.35,207.25,PETRONET
2021-08-10,211.4,216.9,211.4,213.6,275.35,207.25,PETRONET
2021-08-09,216.1,216.9,211.7,213.3,275.35,207.25,PETRONET
2021-08-06,218.0,218.2,215.0,216.1,275.35,207.25,PETRONET
2021-08-05,216.0,217.8,212.75,217.35,275.35,207.25,PETRONET
2021-08-04,222.0,222.15,215.0,215.5,275.35,207.25,PETRONET
2021-08-03,220.5,223.2,219.75,220.8,275.35,207.25,PETRONET
2021-08-02,220.85,220.85,218.05,219.75,275.35,207.25,PETRONET
2021-07-30,215.9,220.65,214.9,218.25,275.35,207.25,PETRONET
2021-07-29,217.0,218.1,214.5,214.9,275.35,207.25,PETRONET
2021-07-28,218.75,218.75,215.8,217.0,275.35,207.25,PETRONET
2021-07-27,219.5,219.7,216.25,216.9,275.35,207.25,PETRONET
2021-07-26,219.4,220.7,218.25,218.85,275.35,207.25,PETRONET
2021-07-23,221.0,221.65,219.35,219.65,275.35,207.25,PETRONET
2021-07-22,220.0,220.65,219.1,220.0,275.35,207.25,PETRONET
2021-07-20,222.05,222.45,218.5,218.9,275.35,207.25,PETRONET
2021-07-19,221.55,225.35,221.0,222.05,275.35,207.25,PETRONET
2021-07-16,221.0,222.2,220.1,221.65,275.35,207.25,PETRONET
2021-07-15,221.7,222.45,220.6,221.0,275.35,207.25,PETRONET
2021-07-14,222.55,223.55,221.4,221.55,275.35,207.25,PETRONET
