DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,118.95,120.55,114.0,114.9,158.9,80.0,ZUARI
2021-11-11,124.3,124.3,115.6,116.9,158.9,80.0,ZUARI
2021-11-10,114.5,119.55,112.6,119.55,158.9,80.0,ZUARI
2021-11-09,112.35,114.9,112.35,113.9,158.9,80.0,ZUARI
2021-11-08,114.95,114.95,110.6,113.6,158.9,80.0,ZUARI
2021-11-04,114.9,114.9,111.65,114.0,158.9,77.35,ZUARI
2021-11-03,114.25,114.65,112.05,113.5,158.9,77.35,ZUARI
2021-11-02,114.25,114.9,110.6,112.15,158.9,77.35,ZUARI
2021-11-01,115.0,115.0,111.0,112.15,158.9,77.35,ZUARI
2021-10-29,112.5,115.0,111.1,112.25,158.9,75.75,ZUARI
2021-10-28,117.1,117.6,112.65,113.45,158.9,75.75,ZUARI
2021-10-27,116.2,119.05,116.1,117.1,158.9,75.75,ZUARI
2021-10-26,116.0,119.0,115.0,116.95,158.9,75.75,ZUARI
2021-10-25,121.0,121.25,114.0,116.0,158.9,75.55,ZUARI
2021-10-22,115.5,121.15,115.5,118.5,158.9,75.55,ZUARI
2021-10-21,117.6,119.3,114.1,115.4,158.9,75.55,ZUARI
2021-10-20,121.0,122.0,117.0,118.45,158.9,75.55,ZUARI
2021-10-19,124.65,126.75,120.35,121.65,158.9,75.55,ZUARI
2021-10-18,124.0,127.3,123.75,124.65,158.9,75.55,ZUARI
2021-10-14,127.0,129.7,120.8,123.75,158.9,75.55,ZUARI
2021-10-13,128.0,131.75,126.0,126.2,158.9,75.55,ZUARI
2021-10-12,122.15,129.6,122.15,128.0,158.9,75.55,ZUARI
2021-07-19,150.0,154.9,147.15,148.9,158.9,75.55,ZUARI
2021-07-16,150.65,153.5,149.95,150.25,158.9,75.55,ZUARI
2021-07-15,155.3,157.0,151.8,152.75,158.9,75.55,ZUARI
2021-07-14,152.3,158.9,152.3,154.7,158.9,75.55,ZUARI
2021-07-13,153.5,155.2,150.5,151.25,158.65,75.55,ZUARI
2021-07-12,158.25,158.5,151.1,152.2,158.65,75.55,ZUARI
2021-07-09,152.0,158.65,151.2,157.05,158.65,75.55,ZUARI
2021-07-08,148.45,158.65,148.1,151.75,158.65,75.55,ZUARI
2021-07-07,147.0,151.0,143.2,148.4,156.95,75.55,ZUARI
2021-07-06,150.2,156.95,146.6,147.95,156.95,75.55,ZUARI
2021-07-05,132.85,154.8,131.6,148.65,154.8,75.55,ZUARI
2021-07-02,126.2,132.5,126.2,130.65,144.5,75.55,ZUARI
2021-07-01,126.0,127.5,125.0,126.0,144.5,75.55,ZUARI
2021-06-30,128.15,131.05,124.85,126.0,144.5,75.55,ZUARI
2021-06-29,129.95,130.55,127.4,128.15,144.5,75.55,ZUARI
2021-06-28,129.7,135.0,128.1,128.65,144.5,75.55,ZUARI
2021-06-25,125.9,125.9,122.45,123.5,144.5,75.55,ZUARI
2021-06-24,127.9,130.0,124.0,124.75,144.5,75.55,ZUARI
2021-06-23,127.9,132.0,126.2,126.75,144.5,75.55,ZUARI
2021-06-22,128.9,132.4,125.0,126.95,144.5,75.55,ZUARI
