DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-14,25.9,26.0,24.2,24.5,26.6,6.8,JBFIND
2021-10-13,26.0,26.6,24.8,25.45,26.6,6.8,JBFIND
2021-10-12,24.95,26.0,24.3,25.8,26.0,6.8,JBFIND
2021-04-26,18.95,18.95,18.95,18.95,22.6,6.8,JBFIND
2021-04-23,19.9,19.9,19.9,19.9,22.6,6.8,JBFIND
2021-04-22,22.6,22.6,20.5,20.9,22.6,6.8,JBFIND
2021-04-20,21.55,21.55,21.55,21.55,21.55,6.8,JBFIND
2021-04-19,18.65,20.55,18.65,20.55,20.55,6.8,JBFIND
2021-04-16,19.6,19.6,19.6,19.6,19.6,6.8,JBFIND
2021-04-15,18.7,18.7,18.7,18.7,18.7,6.8,JBFIND
2021-04-13,17.85,17.85,17.85,17.85,17.85,6.8,JBFIND
2021-04-12,17.0,17.0,15.7,17.0,17.0,6.8,JBFIND
2021-04-09,15.6,16.2,15.5,16.2,16.2,6.8,JBFIND
2021-04-08,15.3,15.45,14.95,15.45,15.45,6.8,JBFIND
2021-04-07,13.6,14.75,13.6,14.75,15.4,6.8,JBFIND
2021-04-06,14.45,14.45,13.9,14.05,15.4,6.8,JBFIND
2021-04-05,14.4,14.5,13.55,14.25,15.4,6.8,JBFIND
2021-04-01,15.1,15.15,14.05,14.2,15.4,6.8,JBFIND
2021-03-31,15.25,15.35,14.1,14.7,15.4,6.8,JBFIND
2021-03-30,14.4,14.8,14.2,14.8,15.4,6.8,JBFIND
2021-03-26,13.4,14.1,13.4,14.1,15.4,6.8,JBFIND
2021-03-25,13.5,14.0,13.1,13.45,15.4,6.8,JBFIND
2021-03-24,13.75,13.75,13.75,13.75,15.4,6.8,JBFIND
2021-03-23,11.4,12.5,11.4,12.5,15.4,6.8,JBFIND
2021-03-22,11.75,12.25,11.2,11.4,15.4,6.8,JBFIND
2021-03-19,11.05,11.9,11.0,11.5,15.4,6.8,JBFIND
2021-03-18,11.0,11.55,10.8,11.15,15.4,6.8,JBFIND
2021-03-17,10.7,10.9,9.65,10.7,15.4,6.8,JBFIND
2021-03-16,10.85,11.5,10.35,10.55,15.4,6.8,JBFIND
2021-03-15,11.6,11.65,10.7,10.75,15.4,6.8,JBFIND
2021-03-12,11.6,12.2,11.2,11.35,15.4,6.8,JBFIND
2021-03-10,11.75,11.95,11.35,11.4,15.4,6.8,JBFIND
2021-03-09,12.25,12.25,11.6,11.75,15.4,6.8,JBFIND
2021-03-08,12.45,12.5,11.9,12.0,15.4,6.8,JBFIND
2021-03-05,13.1,13.1,11.9,11.95,15.4,6.8,JBFIND
2021-03-04,12.1,12.5,12.0,12.15,15.4,6.8,JBFIND
2021-03-03,12.2,12.6,11.85,12.1,15.4,6.8,JBFIND
2021-03-02,12.55,12.55,11.9,12.0,15.4,6.8,JBFIND
2021-03-01,13.0,13.0,11.95,12.05,15.4,6.8,JBFIND
