DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,126.0,129.15,120.05,124.9,149.5,44.0,JINDWORLD
2021-10-28,133.5,137.25,127.0,128.3,149.5,44.0,JINDWORLD
2021-10-27,137.0,143.9,132.0,133.5,149.5,44.0,JINDWORLD
2021-10-26,140.75,149.5,132.0,134.05,149.5,44.0,JINDWORLD
2021-10-25,142.8,145.0,127.05,140.75,145.0,44.0,JINDWORLD
2021-10-22,133.0,142.15,129.4,139.75,142.15,44.0,JINDWORLD
2021-10-21,116.5,130.85,114.5,127.95,130.85,44.0,JINDWORLD
2021-10-20,114.0,117.4,111.3,115.65,121.9,44.0,JINDWORLD
2021-10-19,116.5,118.85,110.5,112.95,121.9,44.0,JINDWORLD
2021-10-18,113.45,118.9,113.0,115.7,121.9,44.0,JINDWORLD
2021-10-14,107.8,119.75,101.65,113.15,121.9,44.0,JINDWORLD
2021-10-13,114.4,114.4,105.0,106.4,121.9,44.0,JINDWORLD
2021-10-12,116.8,116.8,110.7,112.5,121.9,44.0,JINDWORLD
2021-10-11,116.9,119.95,113.2,114.9,121.9,44.0,JINDWORLD
2021-10-08,119.9,119.9,114.15,117.5,121.9,44.0,JINDWORLD
2021-10-07,116.0,121.9,114.1,115.05,121.9,44.0,JINDWORLD
2021-10-06,96.5,115.1,95.9,113.95,115.1,44.0,JINDWORLD
2021-10-05,91.35,96.75,91.2,95.95,97.7,44.0,JINDWORLD
2021-10-04,94.65,95.85,90.45,91.35,97.7,44.0,JINDWORLD
2021-10-01,92.0,95.5,92.0,93.9,97.7,44.0,JINDWORLD
2021-09-30,94.65,95.6,91.7,92.05,97.7,44.0,JINDWORLD
2021-09-29,90.5,97.7,90.05,94.35,97.7,44.0,JINDWORLD
2021-09-28,87.7,94.3,87.05,92.1,94.3,44.0,JINDWORLD
2021-09-27,88.2,89.45,86.5,87.1,92.8,44.0,JINDWORLD
2021-09-24,88.3,92.8,86.8,87.25,92.8,44.0,JINDWORLD
2021-09-23,88.2,91.7,87.35,88.75,91.75,44.0,JINDWORLD
2021-09-22,87.9,89.95,87.0,87.5,91.75,44.0,JINDWORLD
2021-09-21,87.7,90.0,86.5,87.45,91.75,44.0,JINDWORLD
2021-09-20,84.45,90.5,82.6,86.45,91.75,44.0,JINDWORLD
2021-09-17,89.5,91.75,82.25,86.0,91.75,44.0,JINDWORLD
2021-09-16,86.0,91.75,85.0,88.85,91.75,44.0,JINDWORLD
2021-09-15,87.2,88.4,82.65,84.95,90.6,44.0,JINDWORLD
2021-09-14,81.9,87.95,81.65,86.4,90.6,44.0,JINDWORLD
2021-09-13,84.75,85.35,81.0,81.5,90.6,44.0,JINDWORLD
2021-09-09,85.1,87.0,82.65,83.75,90.6,44.0,JINDWORLD
2021-09-08,77.0,85.1,77.0,84.55,90.6,44.0,JINDWORLD
2021-09-07,80.5,85.5,75.5,77.5,90.6,44.0,JINDWORLD
2021-09-06,63.4,75.0,63.25,75.0,90.6,44.0,JINDWORLD
2021-09-03,64.8,64.8,62.0,62.5,90.6,44.0,JINDWORLD
2021-09-02,63.5,64.75,63.45,63.85,90.6,44.0,JINDWORLD
2021-09-01,64.0,64.75,62.9,63.5,90.6,44.0,JINDWORLD
2021-08-31,64.6,66.35,63.5,63.8,90.6,44.0,JINDWORLD
2021-08-30,64.55,67.8,61.8,64.8,90.6,44.0,JINDWORLD
2021-08-27,65.15,66.0,63.6,65.45,90.6,44.0,JINDWORLD
2021-08-26,63.6,68.9,63.0,65.25,90.6,44.0,JINDWORLD
2021-08-25,62.75,64.25,61.55,62.5,90.6,44.0,JINDWORLD
2021-08-24,59.0,62.5,59.0,61.35,90.6,44.0,JINDWORLD
2021-08-23,63.75,65.55,57.75,58.95,90.6,44.0,JINDWORLD
2021-08-20,66.0,66.0,63.2,63.5,90.6,44.0,JINDWORLD
2021-08-18,68.0,69.0,66.0,66.15,90.6,44.0,JINDWORLD
2021-08-17,71.7,71.7,67.55,68.1,90.6,44.0,JINDWORLD
2021-08-16,73.0,73.2,68.55,70.6,90.6,44.0,JINDWORLD
