DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,143.95,144.0,142.0,142.95,171.7,66.3,JKTYRE
2021-11-11,145.0,145.45,142.55,142.85,171.7,66.3,JKTYRE
2021-11-10,145.0,146.4,144.1,144.45,171.7,66.3,JKTYRE
2021-11-09,146.5,147.85,144.5,145.15,171.7,66.3,JKTYRE
2021-11-08,148.45,148.45,145.1,145.75,171.7,66.3,JKTYRE
2021-11-04,146.85,147.7,146.4,147.25,171.7,65.35,JKTYRE
2021-11-03,147.2,147.4,144.35,146.0,171.7,65.35,JKTYRE
2021-11-02,146.95,149.4,146.05,146.5,171.7,65.35,JKTYRE
2021-11-01,145.15,147.75,144.1,145.7,171.7,65.35,JKTYRE
2021-10-29,145.0,148.5,140.3,143.55,171.7,65.35,JKTYRE
2021-10-28,155.7,155.7,148.5,149.4,171.7,65.35,JKTYRE
2021-10-27,151.8,156.7,151.55,154.9,171.7,65.35,JKTYRE
2021-10-26,150.7,154.0,148.3,151.5,171.7,65.35,JKTYRE
2021-10-25,156.6,157.45,149.4,150.75,171.7,65.35,JKTYRE
2021-10-22,164.0,164.4,155.0,156.6,171.7,58.05,JKTYRE
2021-10-21,161.25,165.0,158.1,163.55,171.7,58.05,JKTYRE
2021-10-20,166.0,166.2,154.6,161.25,171.7,58.05,JKTYRE
2021-10-19,160.5,171.7,160.0,166.65,171.7,58.05,JKTYRE
2021-10-18,153.0,160.0,151.75,158.95,166.25,58.05,JKTYRE
2021-10-14,152.2,153.0,150.7,151.7,166.25,55.7,JKTYRE
2021-10-13,152.5,153.95,150.1,151.1,166.25,55.7,JKTYRE
2021-10-12,153.65,154.2,150.65,151.3,166.25,55.7,JKTYRE
2021-10-11,153.2,157.6,152.2,153.0,166.25,55.7,JKTYRE
2021-10-08,150.45,153.15,149.25,152.25,166.25,55.7,JKTYRE
2021-10-07,148.8,152.9,148.25,149.35,166.25,55.7,JKTYRE
2021-10-06,150.6,153.7,146.6,147.35,166.25,55.7,JKTYRE
2021-10-05,150.0,151.5,149.55,149.85,166.25,55.7,JKTYRE
2021-10-04,149.6,151.1,149.5,149.75,166.25,55.7,JKTYRE
2021-10-01,150.2,150.2,148.4,148.9,166.25,55.7,JKTYRE
2021-09-30,150.8,152.0,149.85,150.4,166.25,55.7,JKTYRE
2021-09-29,148.95,150.85,145.65,149.9,166.25,55.7,JKTYRE
2021-09-28,151.75,152.7,148.3,149.1,166.25,55.7,JKTYRE
2021-09-27,153.0,154.6,150.5,150.95,166.25,55.7,JKTYRE
2021-09-24,156.7,157.1,152.5,153.0,166.25,54.6,JKTYRE
2021-09-23,156.65,161.0,152.0,155.75,166.25,54.6,JKTYRE
2021-09-22,150.2,156.95,150.2,155.4,166.25,54.6,JKTYRE
2021-09-21,149.7,150.9,146.55,149.0,166.25,54.6,JKTYRE
2021-09-20,149.75,153.75,149.1,149.7,166.25,54.6,JKTYRE
2021-09-17,154.0,156.7,149.3,153.4,166.25,54.6,JKTYRE
2021-09-16,155.5,156.8,153.4,153.95,166.25,54.6,JKTYRE
2021-09-15,157.5,159.85,155.5,156.6,166.25,54.6,JKTYRE
2021-09-14,151.85,157.95,150.95,156.4,166.25,54.6,JKTYRE
2021-09-13,153.95,153.95,150.05,150.45,166.25,54.6,JKTYRE
2021-09-09,153.6,156.5,153.0,154.05,166.25,54.6,JKTYRE
2021-09-08,155.5,155.5,152.4,152.8,166.25,54.6,JKTYRE
2021-09-07,157.2,157.2,153.15,155.0,166.25,54.6,JKTYRE
2021-09-06,156.25,158.55,155.4,157.35,166.25,54.6,JKTYRE
2021-09-03,145.85,156.7,145.4,155.35,166.25,54.6,JKTYRE
2021-09-02,144.0,147.0,144.0,145.05,166.25,54.6,JKTYRE
2021-09-01,146.0,146.05,143.5,144.1,166.25,54.6,JKTYRE
2021-08-31,145.95,147.6,144.6,145.25,166.25,54.6,JKTYRE
2021-08-30,144.95,147.75,144.65,145.85,166.25,54.6,JKTYRE
2021-08-27,145.05,146.2,144.05,144.95,166.25,54.6,JKTYRE
2021-08-26,144.35,148.0,143.5,144.25,166.25,54.6,JKTYRE
2021-08-25,147.5,148.0,143.5,144.45,166.25,54.6,JKTYRE
2021-08-24,142.65,151.25,141.05,147.8,166.25,54.6,JKTYRE
2021-08-23,150.2,153.15,139.0,141.15,166.25,54.6,JKTYRE
2021-08-20,154.0,157.0,146.05,148.7,166.25,54.6,JKTYRE
2021-08-18,160.8,160.8,157.5,158.05,166.25,54.6,JKTYRE
2021-08-17,159.2,161.9,156.35,160.3,166.25,54.6,JKTYRE
2021-08-16,161.85,161.9,157.25,159.25,166.25,54.6,JKTYRE
2021-08-13,160.45,162.8,158.2,161.35,166.25,54.6,JKTYRE
2021-08-12,145.6,161.0,145.6,157.45,166.25,54.6,JKTYRE
2021-08-11,146.0,146.7,138.8,144.8,166.25,54.6,JKTYRE
2021-08-10,152.05,153.95,143.0,145.45,166.25,54.6,JKTYRE
2021-08-09,158.0,158.0,151.0,152.05,166.25,54.6,JKTYRE
2021-08-06,162.1,166.25,158.65,160.95,166.25,54.6,JKTYRE
2021-08-05,157.0,163.9,152.15,162.05,164.8,54.6,JKTYRE
2021-08-04,159.0,164.8,155.4,157.25,164.8,54.6,JKTYRE
2021-08-03,146.9,159.7,146.1,158.15,159.7,54.6,JKTYRE
2021-08-02,150.6,151.5,145.5,146.4,156.6,54.6,JKTYRE
2021-07-30,141.0,149.5,140.2,148.4,156.6,54.6,JKTYRE
2021-07-29,140.6,142.2,139.4,140.75,156.6,54.6,JKTYRE
2021-07-28,141.05,141.45,136.6,139.5,156.6,54.6,JKTYRE
2021-07-27,142.3,143.5,140.05,141.1,156.6,54.6,JKTYRE
2021-07-26,143.0,143.6,140.7,141.5,156.6,54.6,JKTYRE
2021-07-23,145.85,146.8,142.6,143.0,156.6,54.6,JKTYRE
2021-07-22,143.5,146.0,140.7,145.15,156.6,54.6,JKTYRE
2021-07-20,145.0,145.6,140.0,141.8,156.6,54.6,JKTYRE
2021-07-19,142.4,146.9,142.2,144.8,156.6,54.6,JKTYRE
2021-07-16,144.8,145.6,143.5,144.1,156.6,54.6,JKTYRE
2021-07-15,147.2,147.8,143.5,144.25,156.6,54.6,JKTYRE
2021-07-14,146.8,149.7,146.25,147.1,156.6,54.6,JKTYRE
2021-07-13,145.8,150.3,145.05,147.5,156.6,54.6,JKTYRE
2021-07-12,143.2,146.0,142.5,143.2,156.6,54.6,JKTYRE
2021-07-09,142.3,143.1,140.0,142.45,156.6,54.6,JKTYRE
2021-07-08,143.25,144.45,141.0,142.1,156.6,54.6,JKTYRE
2021-07-07,143.15,143.15,141.15,142.5,156.6,54.6,JKTYRE
2021-07-06,144.0,146.6,141.2,142.3,156.6,54.6,JKTYRE
2021-07-05,146.9,148.4,142.2,144.6,156.6,54.6,JKTYRE
2021-07-02,145.85,147.75,144.55,145.8,156.6,54.6,JKTYRE
2021-07-01,139.8,145.0,138.5,143.75,156.6,54.6,JKTYRE
2021-06-30,138.85,140.9,134.25,136.8,156.6,54.6,JKTYRE
2021-06-29,140.0,141.5,137.8,138.55,156.6,54.6,JKTYRE
2021-06-28,144.0,144.0,139.05,139.75,156.6,54.6,JKTYRE
2021-06-25,144.5,145.1,142.15,142.7,156.6,54.6,JKTYRE
2021-06-24,143.8,145.3,142.2,143.75,156.6,54.6,JKTYRE
2021-06-23,147.0,147.75,143.1,143.8,156.6,54.6,JKTYRE
2021-06-22,148.9,150.0,145.0,145.75,156.6,54.6,JKTYRE
2021-06-21,146.15,149.45,145.1,147.55,156.6,54.6,JKTYRE
2021-06-18,153.65,156.6,137.0,150.95,156.6,54.6,JKTYRE
2021-06-17,148.0,154.15,147.2,152.95,155.9,54.6,JKTYRE
2021-06-16,149.5,155.9,147.2,150.35,155.9,54.6,JKTYRE
2021-06-15,138.6,150.7,137.75,148.8,150.7,54.6,JKTYRE
2021-06-14,137.6,139.5,134.35,137.75,146.7,54.6,JKTYRE
2021-06-11,140.85,140.85,136.55,137.55,146.7,54.6,JKTYRE
2021-06-10,137.45,141.9,136.7,139.85,146.7,54.6,JKTYRE
2021-06-09,140.0,140.9,135.4,136.65,146.7,54.6,JKTYRE
2021-06-08,138.35,142.45,135.3,139.5,146.7,54.6,JKTYRE
2021-06-07,136.45,138.8,136.0,137.15,146.7,54.6,JKTYRE
2021-06-04,134.8,136.0,133.55,133.9,146.7,52.7,JKTYRE
2021-06-03,132.15,134.75,130.5,133.75,146.7,52.7,JKTYRE
2021-06-02,128.95,131.8,127.2,131.0,146.7,52.7,JKTYRE
2021-06-01,132.0,133.35,127.75,128.2,146.7,52.7,JKTYRE
2021-05-31,127.0,132.4,125.1,130.3,146.7,52.7,JKTYRE
2021-05-28,129.5,130.65,126.25,127.0,146.7,50.25,JKTYRE
2021-05-27,127.05,130.4,127.05,128.5,146.7,50.25,JKTYRE
2021-05-26,126.7,129.8,125.65,127.1,146.7,50.25,JKTYRE
2021-05-25,127.35,129.1,125.1,126.7,146.7,50.25,JKTYRE
2021-05-24,126.0,128.8,124.0,126.35,146.7,50.25,JKTYRE
2021-05-21,127.95,127.95,122.25,123.7,146.7,47.75,JKTYRE
2021-05-20,129.5,131.5,124.25,125.6,146.7,47.75,JKTYRE
2021-05-19,123.55,125.75,122.0,123.75,146.7,47.75,JKTYRE
2021-05-18,119.55,124.0,119.05,122.7,146.7,47.75,JKTYRE
2021-05-17,115.05,120.55,114.4,118.6,146.7,47.75,JKTYRE
2021-05-14,118.0,119.25,112.95,113.75,146.7,47.75,JKTYRE
2021-05-12,120.9,124.9,114.3,116.6,146.7,47.75,JKTYRE
2021-05-11,117.0,121.2,116.8,119.8,146.7,47.75,JKTYRE
2021-05-10,118.5,119.9,116.5,117.7,146.7,47.75,JKTYRE
2021-05-07,116.7,118.5,114.3,118.05,146.7,45.15,JKTYRE
2021-05-06,117.75,119.7,114.25,115.8,146.7,45.15,JKTYRE
2021-05-05,119.85,121.5,115.0,117.8,146.7,45.15,JKTYRE
2021-05-04,124.05,125.0,118.0,118.9,146.7,45.15,JKTYRE
2021-05-03,119.0,124.95,117.55,122.3,146.7,45.15,JKTYRE
2021-04-30,116.75,127.5,115.0,121.5,146.7,45.15,JKTYRE
2021-04-29,118.0,119.35,115.0,116.85,146.7,45.15,JKTYRE
2021-04-28,112.7,118.5,111.7,116.95,146.7,45.15,JKTYRE
2021-04-27,109.0,112.4,109.0,111.65,146.7,45.15,JKTYRE
2021-04-26,112.0,113.5,108.9,109.9,146.7,45.15,JKTYRE
2021-04-23,106.95,113.85,104.5,111.0,146.7,45.15,JKTYRE
2021-04-22,107.9,108.0,104.55,106.6,146.7,45.15,JKTYRE
2021-04-20,106.5,111.0,106.0,107.05,146.7,45.15,JKTYRE
2021-04-19,106.05,106.5,103.25,105.9,146.7,45.15,JKTYRE
2021-04-16,108.95,110.5,107.9,109.55,146.7,43.0,JKTYRE
2021-04-15,109.7,109.7,106.0,107.7,146.7,43.0,JKTYRE
2021-04-13,108.4,112.0,106.55,110.35,146.7,43.0,JKTYRE
2021-04-12,113.5,116.0,107.4,107.8,146.7,43.0,JKTYRE
2021-04-09,120.65,122.8,118.6,119.3,146.7,40.0,JKTYRE
2021-04-08,119.5,124.0,119.0,120.35,146.7,40.0,JKTYRE
2021-04-07,116.0,118.85,114.75,117.35,146.7,40.0,JKTYRE
2021-04-06,115.0,117.4,114.9,115.7,146.7,40.0,JKTYRE
2021-04-05,119.9,119.95,113.0,114.5,146.7,40.0,JKTYRE
2021-04-01,109.95,119.9,109.75,119.15,146.7,37.8,JKTYRE
2021-03-31,108.9,111.2,107.5,109.0,146.7,37.8,JKTYRE
2021-03-30,110.8,110.8,98.9,108.35,146.7,37.8,JKTYRE
2021-03-26,110.8,111.5,109.1,109.85,146.7,31.65,JKTYRE
2021-03-25,113.0,113.6,108.5,109.35,146.7,31.65,JKTYRE
2021-03-24,116.2,117.0,113.5,113.9,146.7,31.65,JKTYRE
2021-03-23,118.95,119.35,115.8,117.3,146.7,31.65,JKTYRE
2021-03-22,114.9,119.0,113.3,117.9,146.7,31.65,JKTYRE
2021-03-19,109.85,115.0,104.1,112.25,146.7,31.65,JKTYRE
2021-03-18,117.0,118.2,106.6,109.85,146.7,31.65,JKTYRE
2021-03-17,119.15,120.0,115.0,115.4,146.7,31.65,JKTYRE
2021-03-16,122.3,122.6,118.7,119.0,146.7,31.65,JKTYRE
2021-03-15,123.85,124.15,120.25,121.6,146.7,31.65,JKTYRE
2021-03-12,124.25,126.0,121.1,122.9,146.7,31.65,JKTYRE
2021-03-10,124.35,125.0,122.45,123.15,146.7,31.65,JKTYRE
2021-03-09,124.5,125.45,123.0,123.25,146.7,31.65,JKTYRE
2021-03-08,124.9,126.4,123.2,123.95,146.7,31.65,JKTYRE
2021-03-05,127.7,128.85,123.0,124.4,146.7,31.65,JKTYRE
2021-03-04,124.7,130.4,123.7,127.7,146.7,31.65,JKTYRE
2021-03-03,123.6,126.7,123.0,124.7,146.7,31.65,JKTYRE
2021-03-02,127.0,127.4,123.2,124.9,146.7,31.65,JKTYRE
2021-03-01,124.9,129.8,123.15,126.45,146.7,31.65,JKTYRE
2021-02-26,125.7,126.0,123.0,124.1,146.7,31.65,JKTYRE
2021-02-25,128.5,130.85,125.65,126.35,146.7,31.65,JKTYRE
2021-02-24,125.05,130.5,122.4,127.4,146.7,31.65,JKTYRE
2021-02-23,123.9,125.05,121.75,124.65,146.7,31.65,JKTYRE
2021-02-22,123.5,126.55,121.15,124.15,146.7,31.65,JKTYRE
2021-02-19,124.2,124.75,120.0,122.85,146.7,31.65,JKTYRE
2021-02-18,125.9,128.9,121.5,123.2,146.7,31.65,JKTYRE
2021-02-17,125.25,128.0,123.65,124.95,146.7,31.65,JKTYRE
2021-02-16,126.1,127.85,124.3,125.25,146.7,31.65,JKTYRE
2021-02-15,125.5,130.0,124.15,127.2,146.7,31.65,JKTYRE
2021-02-12,129.0,129.15,123.75,124.4,146.7,31.65,JKTYRE
2021-02-11,128.0,131.8,127.0,128.65,146.7,31.65,JKTYRE
2021-02-10,129.6,130.7,125.3,127.35,146.7,31.65,JKTYRE
2021-02-09,132.3,133.25,128.55,129.15,146.7,31.65,JKTYRE
2021-02-08,132.75,136.9,131.6,132.25,146.7,31.65,JKTYRE
2021-02-05,136.0,136.9,130.0,131.75,146.7,31.65,JKTYRE
2021-02-04,132.55,144.35,131.55,134.95,146.7,31.65,JKTYRE
2021-02-03,130.0,135.0,126.85,131.25,146.7,31.65,JKTYRE
2021-02-02,130.0,132.8,127.05,128.2,146.7,31.65,JKTYRE
2021-02-01,128.5,134.65,121.15,129.8,146.7,31.65,JKTYRE
2021-01-29,126.05,131.5,126.05,127.25,146.7,31.65,JKTYRE
2021-01-28,128.0,130.3,122.4,123.95,146.7,31.65,JKTYRE
2021-01-27,139.6,139.6,130.2,132.3,146.7,31.65,JKTYRE
2021-01-25,143.0,146.7,131.35,141.85,146.7,31.65,JKTYRE
2021-01-22,126.0,138.8,126.0,136.1,138.8,31.65,JKTYRE
2021-01-21,117.0,124.8,111.6,115.7,124.8,31.65,JKTYRE
2021-01-20,91.2,108.35,90.85,106.55,108.35,31.65,JKTYRE
2021-01-19,88.65,91.95,88.5,90.3,92.9,31.65,JKTYRE
2021-01-18,91.4,91.85,85.55,87.7,92.9,31.65,JKTYRE
2021-01-15,89.5,92.9,88.5,90.8,92.9,31.65,JKTYRE
2021-01-14,84.5,90.75,84.15,88.75,90.75,31.65,JKTYRE
2021-01-13,83.3,84.8,81.8,83.35,87.55,31.65,JKTYRE
