DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,1857.9,1875.0,1842.5,1858.45,1893.0,781.05,GRASIM
2021-11-11,1877.8,1893.0,1831.8,1844.35,1893.0,781.05,GRASIM
2021-11-10,1846.9,1879.4,1842.0,1874.45,1879.9,781.05,GRASIM
2021-11-09,1851.0,1879.9,1848.55,1863.85,1879.9,781.05,GRASIM
2021-11-08,1791.6,1857.1,1779.5,1848.95,1857.1,781.05,GRASIM
2021-11-04,1797.0,1800.0,1785.55,1791.6,1805.0,775.5,GRASIM
2021-11-03,1745.0,1793.2,1735.2,1785.55,1805.0,775.5,GRASIM
2021-11-02,1792.0,1805.0,1737.5,1744.05,1805.0,775.5,GRASIM
2021-11-01,1722.0,1795.85,1719.2,1789.0,1798.4,775.5,GRASIM
2021-10-29,1705.0,1742.5,1675.45,1721.1,1798.4,765.25,GRASIM
2021-10-28,1735.95,1735.95,1692.55,1702.4,1798.4,765.25,GRASIM
2021-10-27,1744.0,1754.65,1722.7,1728.4,1798.4,765.25,GRASIM
2021-10-26,1717.0,1767.0,1704.25,1739.4,1798.4,765.25,GRASIM
2021-10-25,1700.0,1719.7,1669.15,1710.65,1798.4,765.25,GRASIM
2021-10-22,1748.6,1764.75,1710.1,1713.8,1798.4,761.55,GRASIM
2021-10-21,1709.4,1754.0,1690.05,1745.8,1798.4,761.55,GRASIM
2021-10-20,1710.1,1723.95,1681.8,1692.5,1798.4,761.55,GRASIM
2021-10-19,1757.0,1770.45,1711.55,1717.9,1798.4,761.55,GRASIM
2021-10-18,1762.0,1798.4,1746.0,1753.95,1798.4,761.55,GRASIM
2021-10-14,1680.0,1775.0,1680.0,1752.5,1775.0,733.45,GRASIM
2021-10-13,1637.65,1713.25,1622.8,1677.05,1713.25,733.45,GRASIM
2021-10-12,1651.75,1665.0,1628.55,1637.65,1694.3,733.45,GRASIM
2021-10-11,1607.0,1665.5,1606.95,1651.75,1694.3,733.45,GRASIM
2021-10-08,1596.0,1616.8,1591.65,1598.8,1694.3,733.45,GRASIM
2021-10-07,1608.95,1627.0,1590.0,1592.0,1694.3,733.45,GRASIM
2021-10-06,1621.0,1640.0,1592.0,1599.0,1694.3,733.45,GRASIM
2021-10-05,1641.15,1653.45,1623.0,1627.0,1694.3,733.45,GRASIM
2021-10-04,1652.0,1654.85,1621.0,1641.15,1694.3,733.45,GRASIM
2021-10-01,1659.95,1687.65,1635.5,1677.15,1694.3,715.0,GRASIM
2021-09-30,1660.0,1694.3,1660.0,1669.45,1694.3,715.0,GRASIM
2021-09-29,1642.0,1678.5,1635.05,1669.9,1684.6,715.0,GRASIM
2021-09-28,1653.0,1684.6,1641.1,1648.75,1684.6,715.0,GRASIM
2021-09-27,1635.1,1657.25,1622.2,1648.8,1658.0,715.0,GRASIM
2021-09-24,1615.0,1658.0,1615.0,1629.75,1658.0,675.5,GRASIM
2021-09-23,1578.7,1625.0,1573.45,1606.85,1625.0,675.5,GRASIM
2021-09-22,1551.3,1582.65,1546.95,1574.65,1622.65,675.5,GRASIM
2021-09-21,1535.0,1565.0,1526.7,1557.15,1622.65,675.5,GRASIM
2021-09-20,1565.0,1567.55,1528.55,1535.6,1622.65,675.5,GRASIM
2021-09-17,1587.25,1609.8,1562.35,1568.8,1622.65,675.5,GRASIM
2021-09-16,1615.0,1618.0,1574.0,1578.45,1622.65,675.5,GRASIM
2021-09-15,1615.0,1622.65,1590.0,1606.8,1622.65,675.5,GRASIM
2021-09-14,1610.0,1619.9,1594.0,1611.8,1619.9,675.5,GRASIM
2021-09-13,1610.0,1613.5,1579.55,1606.35,1614.2,675.5,GRASIM
2021-09-09,1579.85,1603.0,1570.0,1597.9,1614.2,664.05,GRASIM
2021-09-08,1562.0,1608.65,1552.4,1576.7,1614.2,664.05,GRASIM
2021-09-07,1538.0,1557.9,1514.75,1554.45,1614.2,664.05,GRASIM
2021-09-06,1512.0,1567.0,1512.0,1531.0,1614.2,664.05,GRASIM
2021-09-03,1510.0,1519.95,1492.5,1510.45,1614.2,651.05,GRASIM
2021-09-02,1490.0,1507.0,1485.0,1499.25,1614.2,651.05,GRASIM
2021-09-01,1510.0,1514.5,1480.2,1486.0,1614.2,651.05,GRASIM
2021-08-31,1482.0,1504.4,1467.65,1500.4,1614.2,651.05,GRASIM
2021-08-30,1465.0,1483.0,1462.0,1471.15,1614.2,651.05,GRASIM
2021-08-27,1444.0,1468.0,1442.95,1458.3,1614.2,651.05,GRASIM
2021-08-26,1446.1,1459.75,1430.05,1439.05,1614.2,651.05,GRASIM
2021-08-25,1466.5,1472.65,1446.1,1447.7,1614.2,651.05,GRASIM
2021-08-24,1444.0,1462.0,1440.65,1460.15,1614.2,651.05,GRASIM
2021-08-23,1495.0,1499.25,1432.0,1440.65,1614.2,651.05,GRASIM
2021-08-20,1489.95,1503.3,1475.0,1484.65,1614.2,610.7,GRASIM
2021-08-18,1482.2,1508.8,1480.0,1501.2,1614.2,610.7,GRASIM
2021-08-17,1496.5,1498.55,1460.1,1481.0,1614.2,610.7,GRASIM
2021-08-16,1498.9,1525.0,1487.4,1490.9,1614.2,610.7,GRASIM
2021-08-13,1493.3,1532.45,1485.5,1496.9,1614.2,610.7,GRASIM
2021-08-12,1499.8,1515.0,1488.65,1492.3,1614.2,610.7,GRASIM
2021-08-11,1484.0,1516.9,1480.0,1502.4,1614.2,610.7,GRASIM
2021-08-10,1520.0,1520.0,1477.95,1490.6,1614.2,610.7,GRASIM
2021-08-09,1545.0,1547.0,1506.55,1512.15,1614.2,610.7,GRASIM
2021-08-06,1544.6,1553.5,1520.2,1531.0,1614.2,610.7,GRASIM
2021-08-05,1539.0,1553.0,1525.0,1537.4,1614.2,610.7,GRASIM
2021-08-04,1590.0,1605.25,1537.05,1554.85,1614.2,610.7,GRASIM
2021-08-03,1575.0,1599.9,1544.5,1592.4,1614.2,610.7,GRASIM
2021-08-02,1565.0,1614.2,1558.65,1591.65,1614.2,610.7,GRASIM
2021-07-30,1537.7,1566.0,1521.65,1551.35,1599.5,565.0,GRASIM
2021-07-29,1543.0,1557.6,1523.0,1544.6,1599.5,565.0,GRASIM
2021-07-28,1528.0,1537.25,1486.0,1533.55,1599.5,565.0,GRASIM
2021-07-27,1551.2,1564.2,1513.0,1518.7,1599.5,565.0,GRASIM
2021-07-26,1549.5,1566.25,1541.05,1550.25,1599.5,565.0,GRASIM
2021-07-23,1580.0,1588.95,1545.15,1549.5,1599.5,565.0,GRASIM
2021-07-22,1595.0,1599.5,1573.2,1582.05,1599.5,565.0,GRASIM
2021-07-20,1558.2,1587.55,1538.9,1574.1,1587.55,565.0,GRASIM
2021-07-19,1558.8,1575.6,1544.85,1558.8,1582.15,565.0,GRASIM
2021-07-16,1564.8,1579.3,1548.05,1572.3,1582.15,565.0,GRASIM
2021-07-15,1568.0,1579.75,1553.15,1557.25,1582.15,565.0,GRASIM
2021-07-14,1575.5,1580.0,1563.15,1567.8,1582.15,565.0,GRASIM
2021-07-13,1540.0,1582.15,1538.0,1576.65,1582.15,565.0,GRASIM
2021-07-12,1507.0,1540.7,1507.0,1536.15,1547.0,565.0,GRASIM
2021-07-09,1475.0,1508.0,1461.0,1500.15,1547.0,565.0,GRASIM
2021-07-08,1496.8,1498.75,1472.2,1475.45,1547.0,565.0,GRASIM
2021-07-07,1495.0,1500.0,1476.0,1493.85,1547.0,565.0,GRASIM
2021-07-06,1491.75,1525.0,1491.7,1497.25,1547.0,565.0,GRASIM
2021-07-05,1497.5,1508.0,1486.0,1489.7,1547.0,565.0,GRASIM
2021-07-02,1505.0,1512.95,1487.0,1489.75,1547.0,565.0,GRASIM
2021-07-01,1503.25,1508.35,1489.0,1500.3,1547.0,565.0,GRASIM
2021-06-30,1503.3,1509.7,1491.0,1498.75,1547.0,565.0,GRASIM
2021-06-29,1517.0,1523.25,1499.0,1503.3,1547.0,565.0,GRASIM
2021-06-28,1515.0,1547.0,1512.75,1520.6,1547.0,565.0,GRASIM
2021-06-25,1501.7,1515.0,1490.0,1506.85,1530.95,565.0,GRASIM
2021-06-24,1498.0,1507.0,1487.5,1498.9,1530.95,565.0,GRASIM
2021-06-23,1500.0,1512.25,1484.0,1498.75,1530.95,565.0,GRASIM
2021-06-22,1500.0,1520.8,1493.05,1496.3,1530.95,565.0,GRASIM
2021-06-21,1461.3,1500.85,1455.0,1496.65,1530.95,565.0,GRASIM
2021-06-18,1464.0,1489.2,1420.05,1480.75,1530.95,565.0,GRASIM
2021-06-17,1465.0,1490.65,1450.55,1458.2,1530.95,565.0,GRASIM
2021-06-16,1495.5,1501.55,1463.9,1469.2,1530.95,565.0,GRASIM
2021-06-15,1495.0,1515.0,1488.0,1495.25,1530.95,565.0,GRASIM
2021-06-14,1481.5,1497.7,1457.2,1493.0,1530.95,565.0,GRASIM
2021-06-11,1505.9,1510.0,1475.5,1490.6,1530.95,565.0,GRASIM
2021-06-10,1491.0,1517.0,1487.2,1492.5,1530.95,565.0,GRASIM
2021-06-09,1510.1,1527.9,1485.0,1492.05,1530.95,565.0,GRASIM
2021-06-08,1508.95,1516.05,1490.2,1503.15,1530.95,565.0,GRASIM
2021-06-07,1518.6,1530.95,1495.6,1501.0,1530.95,565.0,GRASIM
2021-06-04,1458.8,1507.0,1452.35,1503.25,1507.0,565.0,GRASIM
2021-06-03,1445.2,1464.0,1436.05,1458.75,1494.9,565.0,GRASIM
2021-06-02,1444.0,1454.45,1425.55,1442.25,1494.9,565.0,GRASIM
2021-06-01,1475.6,1479.15,1437.0,1444.55,1494.9,565.0,GRASIM
2021-05-31,1465.25,1494.9,1455.0,1471.2,1494.9,565.0,GRASIM
2021-05-28,1428.2,1480.0,1421.0,1465.45,1480.0,527.85,GRASIM
2021-05-27,1414.95,1436.25,1393.0,1417.15,1475.0,527.85,GRASIM
2021-05-26,1385.0,1431.95,1381.05,1409.4,1475.0,527.85,GRASIM
2021-05-25,1380.0,1399.25,1354.2,1374.9,1475.0,527.85,GRASIM
2021-05-24,1372.65,1376.4,1350.6,1370.75,1475.0,527.85,GRASIM
2021-05-21,1380.0,1386.95,1365.0,1371.85,1475.0,494.1,GRASIM
2021-05-20,1389.0,1389.0,1365.1,1375.25,1475.0,494.1,GRASIM
2021-05-19,1391.0,1421.9,1380.4,1389.7,1475.0,494.1,GRASIM
2021-05-18,1405.1,1427.85,1386.1,1392.4,1475.0,494.1,GRASIM
2021-05-17,1373.1,1400.4,1362.45,1393.85,1475.0,494.1,GRASIM
2021-05-14,1420.0,1421.95,1354.85,1367.0,1475.0,484.75,GRASIM
