DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,71.0,71.5,69.4,70.8,83.35,42.1,GMDCLTD
2021-11-11,71.3,71.9,70.4,70.75,83.35,42.1,GMDCLTD
2021-11-10,72.85,73.4,70.25,71.25,83.35,42.1,GMDCLTD
2021-11-09,73.4,73.75,72.3,72.65,83.35,42.1,GMDCLTD
2021-11-08,73.45,73.9,72.05,73.0,83.35,42.1,GMDCLTD
2021-11-04,73.0,73.9,72.7,73.3,83.35,41.9,GMDCLTD
2021-11-03,73.25,73.5,72.0,72.2,83.35,41.9,GMDCLTD
2021-11-02,74.85,74.9,72.55,72.9,83.35,41.9,GMDCLTD
2021-11-01,74.0,74.7,73.0,74.4,83.35,41.9,GMDCLTD
2021-10-29,73.1,75.4,71.0,73.45,83.35,41.9,GMDCLTD
2021-10-28,75.5,75.6,72.35,73.0,83.35,41.9,GMDCLTD
2021-10-27,74.2,75.6,73.85,74.55,83.35,41.9,GMDCLTD
2021-10-26,74.5,75.3,73.3,73.8,83.35,41.9,GMDCLTD
2021-10-25,73.3,79.4,70.5,74.6,83.35,41.9,GMDCLTD
2021-10-22,75.3,75.7,71.45,72.75,83.35,41.9,GMDCLTD
2021-10-21,71.8,76.5,71.75,74.7,83.35,41.9,GMDCLTD
2021-10-20,74.6,74.6,70.7,71.15,83.35,41.9,GMDCLTD
2021-10-19,77.9,79.2,74.0,74.65,83.35,41.9,GMDCLTD
2021-10-18,79.0,79.4,77.2,77.35,83.35,41.9,GMDCLTD
2021-10-14,77.9,79.8,77.25,78.05,83.35,41.9,GMDCLTD
2021-10-13,78.9,79.3,77.0,77.3,83.35,41.9,GMDCLTD
2021-10-12,78.7,79.8,77.6,78.45,83.35,41.9,GMDCLTD
2021-10-11,78.1,80.8,78.1,79.0,83.35,41.9,GMDCLTD
2021-10-08,79.3,80.1,77.0,77.3,83.35,41.9,GMDCLTD
2021-10-07,80.4,81.75,78.7,79.1,83.35,41.9,GMDCLTD
2021-10-06,80.45,83.25,77.6,78.8,83.35,41.9,GMDCLTD
2021-10-05,76.95,81.25,76.7,79.2,83.35,41.9,GMDCLTD
2021-10-04,76.5,78.9,76.05,77.3,83.35,41.9,GMDCLTD
2021-10-01,73.5,76.85,73.45,75.4,83.35,41.9,GMDCLTD
2021-09-30,74.5,76.6,73.9,74.95,83.35,41.9,GMDCLTD
2021-09-29,69.95,76.2,69.5,73.65,83.35,41.9,GMDCLTD
2021-09-28,70.0,72.1,69.5,69.95,83.35,41.9,GMDCLTD
2021-09-27,68.65,70.85,68.1,69.5,83.35,41.9,GMDCLTD
2021-09-24,70.1,71.0,68.3,68.45,83.35,40.85,GMDCLTD
2021-09-23,70.4,71.9,69.6,69.95,83.35,40.85,GMDCLTD
2021-09-22,66.45,70.45,66.45,69.85,83.35,40.85,GMDCLTD
2021-09-21,66.65,66.65,65.0,66.0,83.35,40.85,GMDCLTD
2021-09-20,67.4,68.45,65.8,66.2,83.35,40.85,GMDCLTD
2021-09-17,71.0,71.45,67.6,68.75,83.35,40.85,GMDCLTD
2021-09-16,71.6,72.6,70.05,70.4,83.35,40.85,GMDCLTD
2021-09-15,69.6,71.3,69.1,70.65,83.35,40.85,GMDCLTD
2021-09-14,69.35,71.1,68.9,69.1,83.35,40.85,GMDCLTD
2021-09-13,68.75,70.4,68.6,68.85,83.35,40.85,GMDCLTD
2021-09-09,68.3,69.7,68.3,68.6,83.35,40.85,GMDCLTD
2021-09-08,69.3,70.45,68.3,68.65,83.35,40.85,GMDCLTD
2021-09-07,72.05,72.4,68.6,69.15,83.35,40.85,GMDCLTD
2021-09-06,67.55,73.3,66.9,71.95,83.35,40.85,GMDCLTD
2021-09-03,68.05,69.35,67.65,67.95,83.35,40.85,GMDCLTD
2021-09-02,68.5,69.65,67.65,68.2,83.35,40.85,GMDCLTD
2021-09-01,70.15,70.6,68.1,68.4,83.35,40.85,GMDCLTD
2021-08-31,69.45,73.7,69.4,70.15,83.35,40.85,GMDCLTD
2021-08-30,71.25,71.7,69.2,69.8,83.35,40.85,GMDCLTD
2021-08-27,63.0,71.15,62.7,70.6,83.35,40.85,GMDCLTD
2021-08-26,63.25,63.3,62.3,62.85,83.35,40.85,GMDCLTD
2021-08-25,61.6,64.35,61.6,63.2,83.35,40.85,GMDCLTD
2021-08-24,59.9,61.9,59.55,61.3,83.35,40.85,GMDCLTD
2021-08-23,62.95,63.6,57.6,59.55,83.35,40.85,GMDCLTD
2021-08-20,61.0,65.55,60.5,62.6,83.35,40.85,GMDCLTD
2021-08-18,62.0,62.8,60.85,61.9,83.35,40.85,GMDCLTD
2021-08-17,64.5,65.3,60.55,61.9,83.35,40.85,GMDCLTD
2021-08-16,64.45,65.7,64.05,64.4,83.35,40.85,GMDCLTD
2021-08-13,67.2,67.9,65.55,66.05,83.35,40.85,GMDCLTD
2021-08-12,64.15,67.65,64.1,66.65,83.35,40.85,GMDCLTD
2021-08-11,64.6,65.0,62.0,64.1,83.35,40.85,GMDCLTD
2021-08-10,68.0,68.25,63.0,64.4,83.35,40.85,GMDCLTD
2021-08-09,70.85,70.9,67.05,67.75,83.35,40.85,GMDCLTD
2021-08-06,69.0,71.5,68.6,70.35,83.35,40.45,GMDCLTD
2021-08-05,70.45,70.5,68.15,68.95,83.35,40.45,GMDCLTD
2021-08-04,69.05,73.5,68.75,70.05,83.35,40.45,GMDCLTD
2021-08-03,69.4,69.7,68.35,68.6,83.35,40.45,GMDCLTD
2021-08-02,70.2,70.2,68.7,69.05,83.35,40.45,GMDCLTD
2021-07-30,71.45,72.4,69.25,69.7,83.35,40.0,GMDCLTD
2021-07-29,65.0,73.4,65.0,71.0,83.35,40.0,GMDCLTD
2021-07-28,65.35,65.85,64.0,64.7,83.35,40.0,GMDCLTD
2021-07-27,66.0,67.95,65.05,65.25,83.35,40.0,GMDCLTD
2021-07-26,66.15,66.95,65.65,65.85,83.35,40.0,GMDCLTD
2021-07-23,67.35,67.45,65.6,65.8,83.35,40.0,GMDCLTD
2021-07-22,67.35,67.6,66.5,66.7,83.35,40.0,GMDCLTD
2021-07-20,68.0,68.35,65.3,65.95,83.35,40.0,GMDCLTD
2021-07-19,67.1,69.2,67.1,68.0,83.35,40.0,GMDCLTD
2021-07-16,67.6,69.4,67.6,68.25,83.35,40.0,GMDCLTD
2021-07-15,68.7,68.9,67.8,67.95,83.35,40.0,GMDCLTD
2021-07-14,69.6,69.85,68.5,68.7,83.35,40.0,GMDCLTD
2021-07-13,69.5,69.8,68.75,69.1,83.35,40.0,GMDCLTD
2021-07-12,70.5,70.9,68.6,68.8,83.35,40.0,GMDCLTD
2021-07-09,69.0,70.6,68.4,69.5,83.35,40.0,GMDCLTD
2021-07-08,70.8,70.8,68.8,69.1,83.35,40.0,GMDCLTD
2021-07-07,68.0,71.2,67.2,70.55,83.35,40.0,GMDCLTD
2021-07-06,68.95,69.35,67.75,68.0,83.35,40.0,GMDCLTD
2021-07-05,69.0,69.8,68.5,68.75,83.35,40.0,GMDCLTD
2021-07-02,69.1,69.45,68.3,68.7,83.35,39.65,GMDCLTD
2021-07-01,68.3,69.25,68.1,68.55,83.35,39.65,GMDCLTD
2021-06-30,71.8,71.8,67.6,67.85,83.35,39.65,GMDCLTD
2021-06-29,76.55,76.75,70.65,71.85,83.35,39.65,GMDCLTD
2021-06-28,75.75,77.3,75.2,76.05,83.35,39.65,GMDCLTD
2021-06-25,74.3,75.65,74.2,75.15,83.35,39.65,GMDCLTD
2021-06-24,75.4,75.4,73.5,73.7,83.35,39.65,GMDCLTD
2021-06-23,75.0,77.95,74.5,74.9,83.35,39.65,GMDCLTD
2021-06-22,74.8,75.7,74.15,74.45,83.35,39.65,GMDCLTD
2021-06-21,71.0,74.85,70.1,74.25,83.35,39.65,GMDCLTD
2021-06-18,76.45,76.45,70.65,72.9,83.35,39.3,GMDCLTD
2021-06-17,77.8,78.75,75.25,75.85,83.35,39.3,GMDCLTD
2021-06-16,79.0,80.6,76.05,78.7,83.35,39.3,GMDCLTD
2021-06-15,79.6,79.85,77.6,78.5,83.35,39.3,GMDCLTD
2021-06-14,79.25,81.7,76.6,79.05,83.35,39.3,GMDCLTD
2021-06-11,73.9,79.5,73.85,78.25,83.35,38.1,GMDCLTD
2021-06-10,73.1,74.0,72.95,73.3,83.35,38.1,GMDCLTD
2021-06-09,73.95,75.4,72.05,72.6,83.35,38.1,GMDCLTD
2021-06-08,74.5,74.9,72.8,73.95,83.35,38.1,GMDCLTD
2021-06-07,75.25,75.65,74.0,74.45,83.35,38.1,GMDCLTD
2021-06-04,73.95,75.45,73.0,74.75,83.35,34.2,GMDCLTD
2021-06-03,73.0,75.2,72.6,73.45,83.35,34.2,GMDCLTD
2021-06-02,72.1,73.45,71.85,72.35,83.35,34.2,GMDCLTD
2021-06-01,73.85,74.7,71.35,71.85,83.35,34.2,GMDCLTD
2021-05-31,74.85,74.85,73.0,73.15,83.35,34.2,GMDCLTD
2021-05-28,74.0,77.7,73.75,74.55,83.35,34.2,GMDCLTD
2021-05-27,73.2,75.2,72.5,72.8,83.35,34.2,GMDCLTD
2021-05-26,74.7,74.75,72.35,72.6,83.35,34.2,GMDCLTD
2021-05-25,74.6,75.9,73.5,74.3,83.35,34.2,GMDCLTD
2021-05-24,75.2,75.7,73.6,74.0,83.35,34.2,GMDCLTD
2021-05-21,74.3,77.4,74.0,74.6,83.35,34.2,GMDCLTD
2021-05-20,75.2,76.2,73.2,73.5,83.35,34.2,GMDCLTD
2021-05-19,75.85,77.35,74.7,75.8,83.35,34.2,GMDCLTD
2021-05-18,79.65,80.7,75.0,75.6,83.35,34.2,GMDCLTD
2021-05-17,73.1,80.7,71.55,78.55,83.35,34.2,GMDCLTD
2021-05-14,77.4,78.85,71.5,72.5,83.35,34.2,GMDCLTD
2021-05-12,81.7,83.35,74.7,76.75,83.35,34.2,GMDCLTD
2021-05-11,74.0,80.75,72.85,79.2,80.75,34.2,GMDCLTD
2021-05-10,69.5,79.6,69.5,76.9,79.6,34.2,GMDCLTD
2021-05-07,60.8,69.15,60.6,67.7,69.15,34.2,GMDCLTD
2021-05-06,61.0,61.8,60.15,60.35,67.4,34.2,GMDCLTD
2021-05-05,61.35,62.0,60.15,60.55,67.4,34.2,GMDCLTD
2021-05-04,61.7,63.5,60.3,60.85,67.4,34.2,GMDCLTD
2021-05-03,60.9,62.35,60.15,61.15,67.4,34.2,GMDCLTD
2021-04-30,57.05,59.8,56.8,58.8,67.4,34.2,GMDCLTD
2021-04-29,57.0,58.75,56.5,57.8,67.4,34.2,GMDCLTD
2021-04-28,56.95,57.6,56.6,56.8,67.4,34.2,GMDCLTD
2021-04-27,55.9,57.35,55.5,56.6,67.4,34.2,GMDCLTD
