DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,181.3,182.8,175.75,178.7,232.0,104.5,JKIL
2021-11-11,184.45,185.5,177.55,180.3,232.0,104.5,JKIL
2021-11-10,183.7,187.35,181.9,182.5,232.0,104.5,JKIL
2021-11-09,182.7,187.95,177.3,182.8,232.0,104.5,JKIL
2021-11-08,170.0,183.5,165.45,181.3,232.0,104.5,JKIL
2021-11-04,165.35,170.0,164.55,167.7,232.0,101.65,JKIL
2021-11-03,166.5,169.9,162.3,164.45,232.0,101.65,JKIL
2021-11-02,163.1,170.0,161.2,168.75,232.0,101.65,JKIL
2021-11-01,152.5,166.0,152.5,164.45,232.0,101.65,JKIL
2021-10-29,154.0,157.0,148.9,150.75,232.0,101.65,JKIL
2021-10-28,161.7,162.45,151.1,153.8,232.0,101.65,JKIL
2021-10-27,162.95,166.95,160.85,161.4,232.0,101.65,JKIL
2021-10-26,161.0,166.3,159.0,162.85,232.0,101.65,JKIL
2021-10-25,165.2,165.95,156.75,160.15,232.0,101.65,JKIL
2021-10-22,169.85,174.35,161.1,163.05,232.0,101.65,JKIL
2021-10-21,163.2,169.0,163.2,167.85,232.0,101.65,JKIL
2021-10-20,169.0,171.4,162.9,164.45,232.0,101.65,JKIL
2021-10-19,176.7,178.7,167.05,169.05,232.0,101.65,JKIL
2021-10-18,177.8,179.7,174.0,175.2,232.0,101.65,JKIL
2021-10-14,179.0,179.3,175.55,176.25,232.0,101.65,JKIL
2021-10-13,178.2,181.4,175.0,177.75,232.0,101.65,JKIL
2021-10-12,185.7,186.85,173.0,178.2,232.0,101.65,JKIL
2021-10-11,184.05,187.45,183.1,183.85,232.0,101.65,JKIL
2021-10-08,186.7,187.3,182.8,183.8,232.0,101.65,JKIL
2021-10-07,188.9,189.65,184.0,185.0,232.0,101.65,JKIL
2021-10-06,187.3,192.65,185.5,186.95,232.0,101.65,JKIL
2021-10-05,185.5,189.15,183.25,185.85,232.0,101.65,JKIL
2021-10-04,185.25,186.85,183.1,183.85,232.0,101.65,JKIL
2021-10-01,185.7,188.25,184.15,184.75,232.0,101.65,JKIL
2021-09-30,186.0,190.75,185.0,188.45,232.0,101.65,JKIL
2021-09-29,185.6,190.0,184.6,187.05,232.0,101.65,JKIL
2021-09-28,186.6,194.0,185.8,187.9,232.0,101.65,JKIL
2021-09-27,188.7,189.6,185.0,185.5,232.0,101.65,JKIL
2021-09-24,191.6,193.0,185.8,187.0,232.0,98.25,JKIL
2021-09-23,188.4,191.9,187.35,189.75,232.0,98.25,JKIL
2021-09-22,187.9,188.9,184.0,186.35,232.0,98.25,JKIL
2021-09-21,184.95,190.4,182.2,185.05,232.0,98.25,JKIL
2021-09-20,189.8,196.0,185.55,187.5,232.0,98.25,JKIL
2021-09-17,197.15,202.3,188.2,194.2,232.0,98.25,JKIL
2021-09-16,200.0,201.9,194.8,197.05,232.0,98.25,JKIL
2021-09-15,195.7,204.0,195.2,200.8,232.0,98.25,JKIL
2021-09-14,194.8,197.25,193.3,194.85,232.0,98.25,JKIL
2021-09-13,197.9,198.9,191.55,193.6,232.0,98.25,JKIL
2021-09-09,199.7,201.0,194.75,196.9,232.0,98.25,JKIL
2021-09-08,201.9,203.6,199.15,200.05,232.0,98.25,JKIL
2021-09-07,202.35,205.9,200.0,200.6,232.0,98.25,JKIL
2021-09-06,206.55,209.1,203.85,204.55,232.0,98.25,JKIL
2021-09-03,213.35,215.5,205.15,206.4,232.0,98.25,JKIL
2021-09-02,207.75,214.4,203.75,212.7,232.0,98.25,JKIL
2021-09-01,200.0,209.35,200.0,207.75,232.0,98.25,JKIL
2021-08-31,195.8,204.75,194.6,200.95,232.0,98.25,JKIL
2021-08-30,196.55,199.0,194.25,196.0,232.0,98.25,JKIL
2021-08-27,195.0,196.95,193.4,194.35,232.0,98.25,JKIL
2021-08-26,193.8,200.95,192.35,194.25,232.0,98.25,JKIL
