DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,155.4,157.3,147.8,148.8,148.9,VETO
2021-07-15,157.2,162.35,153.45,154.7,154.15,VETO
2021-07-14,159.9,162.8,156.15,156.85,156.95,VETO
2021-07-13,160.4,172.0,155.05,159.4,158.35,VETO
2021-07-12,167.9,169.7,158.15,159.5,158.95,VETO
2021-07-09,159.95,165.25,156.95,165.25,163.25,VETO
2021-07-08,156.3,169.0,155.25,160.0,157.75,VETO
2021-07-07,159.0,160.0,154.0,154.4,155.1,VETO
2021-07-06,160.4,165.0,153.25,158.0,157.6,VETO
2021-07-05,156.0,169.0,154.1,159.0,158.7,VETO
2021-07-02,151.6,153.5,143.1,153.0,150.15,VETO
2021-07-01,127.55,152.9,126.0,149.45,148.9,VETO
2021-06-30,130.0,132.0,126.65,128.85,129.9,VETO
2021-06-29,132.95,133.0,128.9,130.9,130.0,VETO
2021-06-28,129.8,133.0,127.05,131.9,130.95,VETO
2021-06-25,125.3,130.5,125.3,128.0,128.7,VETO
2021-06-24,128.9,129.45,123.85,126.45,125.8,VETO
2021-06-23,128.15,129.7,125.0,126.6,126.15,VETO
2021-06-22,128.55,131.9,127.1,128.2,127.75,VETO
2021-06-21,123.0,128.9,119.25,126.0,127.05,VETO
2021-06-18,126.6,128.0,119.05,123.5,122.65,VETO
2021-06-17,132.9,133.3,123.8,125.35,125.7,VETO
2021-06-16,132.4,132.9,129.0,131.55,131.2,VETO
2021-06-15,132.85,134.95,129.4,131.9,131.1,VETO
2021-06-14,140.25,142.9,126.55,131.5,130.8,VETO
2021-06-11,143.9,145.05,139.55,141.0,141.2,VETO
2021-06-10,143.9,146.65,138.75,143.0,142.25,VETO
2021-06-09,133.4,154.0,132.35,143.0,141.4,VETO
2021-06-08,133.95,137.0,129.55,131.5,132.3,VETO
2021-06-07,130.3,135.0,128.5,129.8,131.45,VETO
2021-06-04,126.15,128.0,125.15,127.05,127.25,VETO
2021-06-03,128.65,128.95,125.15,127.0,126.75,VETO
2021-06-02,122.2,128.15,122.2,126.1,126.7,VETO
2021-06-01,129.9,129.9,125.0,126.35,125.35,VETO
2021-05-31,126.65,130.65,125.0,128.15,128.45,VETO
2021-05-28,123.2,129.95,123.2,127.0,126.65,VETO
2021-05-27,130.05,130.05,125.0,126.65,125.8,VETO
2021-05-26,128.85,130.0,119.05,130.0,129.15,VETO
2021-05-25,127.7,130.05,125.0,127.0,126.95,VETO
2021-05-24,124.0,129.95,124.0,128.0,127.6,VETO
2021-05-21,128.5,128.9,124.0,126.7,125.6,VETO
2021-05-20,124.2,128.1,124.1,125.65,125.0,VETO
2021-05-19,131.7,131.7,126.5,126.5,126.9,VETO
2021-05-18,123.5,131.8,120.45,130.0,130.65,VETO
2021-05-17,125.0,125.0,119.65,120.4,120.45,VETO
2021-05-14,123.7,125.05,120.95,124.85,124.4,VETO
2021-05-12,123.85,126.45,118.5,123.5,122.75,VETO
2021-05-11,125.05,125.05,122.5,124.55,123.85,VETO
2021-05-10,130.9,130.9,125.0,125.0,125.7,VETO
2021-05-07,122.5,128.65,122.4,125.5,125.95,VETO
2021-05-06,129.0,129.0,121.45,122.5,122.05,VETO
2021-05-05,127.05,130.35,122.7,125.0,125.0,VETO
2021-05-04,131.0,131.0,126.35,129.5,128.0,VETO
2021-05-03,132.95,133.0,124.25,126.5,126.25,VETO
2021-04-30,133.15,134.15,130.0,130.0,130.55,VETO
2021-04-29,132.05,134.35,131.0,133.0,133.15,VETO
2021-04-28,130.0,137.0,130.0,130.0,131.1,VETO
2021-04-27,126.5,133.35,126.5,130.5,130.8,VETO
2021-04-26,134.9,134.9,127.5,130.7,130.15,VETO
2021-04-23,129.0,134.5,129.0,131.8,131.35,VETO
2021-04-22,127.7,129.0,117.55,126.0,126.6,VETO
2021-04-20,130.0,134.0,126.25,129.9,127.7,VETO
2021-04-19,135.1,135.1,127.0,128.0,128.25,VETO
2021-04-16,142.8,144.9,135.25,136.0,136.65,VETO
2021-04-15,131.55,143.0,126.8,140.85,139.95,VETO
2021-04-13,134.5,134.95,125.65,129.0,130.4,VETO
2021-04-12,140.0,140.0,129.3,129.3,129.3,VETO
2021-04-09,152.0,152.0,140.0,142.85,143.65,VETO
2021-04-08,134.95,146.0,133.35,142.8,143.5,VETO
2021-04-07,129.95,133.7,129.95,133.2,133.65,VETO
2021-04-06,123.45,127.35,121.0,127.35,127.35,VETO
2021-04-05,121.85,127.9,118.5,122.35,121.3,VETO
2021-04-01,118.95,121.85,116.25,121.85,121.85,VETO
2021-03-31,112.55,120.65,112.55,116.5,116.05,VETO
2021-03-30,119.5,119.5,112.45,113.9,114.95,VETO
2021-03-26,123.5,123.55,114.0,121.0,116.9,VETO
2021-03-25,127.0,127.7,118.0,119.8,118.55,VETO
2021-03-24,128.55,128.75,122.3,124.0,124.2,VETO
2021-03-23,134.45,134.45,127.2,127.2,128.6,VETO
2021-03-22,127.0,131.35,125.3,131.35,131.35,VETO
2021-03-19,124.95,128.0,118.8,128.0,125.1,VETO
2021-03-18,132.0,136.75,125.05,125.05,125.05,VETO
2021-03-17,141.0,141.0,131.6,131.6,131.6,VETO
2021-03-16,142.75,144.0,137.05,138.45,138.5,VETO
2021-03-15,146.4,146.4,139.3,144.0,142.2,VETO
2021-03-12,146.0,151.5,144.05,147.7,146.4,VETO
2021-03-10,145.7,151.95,143.55,145.5,145.7,VETO
2021-03-09,160.0,160.0,147.2,152.15,148.95,VETO
2021-03-08,153.0,156.35,150.95,152.55,153.15,VETO
2021-03-05,147.9,153.45,139.5,153.45,148.95,VETO
2021-03-04,140.05,150.9,139.0,146.0,146.15,VETO
2021-03-03,149.5,149.9,143.0,143.0,143.75,VETO
2021-03-02,148.8,151.8,144.0,145.9,145.8,VETO
2021-03-01,141.0,147.65,141.0,147.65,147.65,VETO
2021-02-26,142.0,146.5,135.0,141.95,140.65,VETO
2021-02-25,135.55,141.5,135.1,141.5,141.5,VETO
2021-02-24,129.4,134.8,125.95,134.8,134.8,VETO
2021-02-23,127.0,132.9,125.45,128.3,128.4,VETO
2021-02-22,136.0,136.0,127.3,127.3,127.3,VETO
2021-02-19,140.0,144.0,132.0,134.1,134.0,VETO
2021-02-18,137.85,137.9,135.0,137.9,137.9,VETO
2021-02-17,131.0,131.35,120.25,131.35,131.35,VETO
2021-02-16,122.9,125.1,122.9,125.1,125.1,VETO
2021-02-15,112.8,119.15,112.25,119.15,119.15,VETO
2021-02-12,114.7,119.0,111.0,111.0,113.5,VETO
2021-02-11,112.0,115.75,110.1,113.2,113.45,VETO
2021-02-10,97.5,109.05,97.5,109.05,109.05,VETO
2021-02-09,99.85,104.0,99.0,99.15,99.15,VETO
2021-02-08,103.4,104.4,99.05,100.0,100.05,VETO
2021-02-05,89.95,98.65,89.75,98.65,98.65,VETO
2021-02-04,90.05,92.65,89.1,89.5,89.7,VETO
2021-02-03,93.7,93.95,88.55,91.0,90.05,VETO
2021-02-02,93.65,94.0,87.3,90.1,90.95,VETO
2021-02-01,90.45,92.5,89.0,92.5,92.0,VETO
2021-01-29,92.0,92.75,89.25,90.45,90.15,VETO
2021-01-28,90.4,93.0,89.4,90.2,90.85,VETO
2021-01-27,88.0,93.95,88.0,91.0,90.4,VETO
2021-01-25,92.6,94.8,91.05,93.45,92.95,VETO
2021-01-22,93.65,93.85,90.5,91.4,90.95,VETO
2021-01-21,95.7,95.8,91.0,91.95,91.85,VETO
2021-01-20,90.05,98.2,85.2,98.2,98.2,VETO
2021-01-19,86.4,89.95,86.4,89.0,89.3,VETO
2021-01-18,86.0,91.75,85.0,85.2,86.4,VETO
2021-01-15,92.7,92.7,90.0,91.3,91.15,VETO
2021-01-14,94.0,94.0,90.0,92.5,92.65,VETO
2021-01-13,95.65,96.95,91.05,92.4,92.45,VETO
2021-01-12,90.05,101.0,90.05,96.9,95.65,VETO
2021-01-11,96.7,96.7,89.0,93.0,93.2,VETO
2021-01-08,84.55,94.25,84.55,94.25,94.25,VETO
2021-01-07,86.75,88.95,84.35,86.0,85.7,VETO
2021-01-06,88.2,89.7,85.05,86.65,86.3,VETO
2021-01-05,87.0,91.55,85.0,87.25,87.2,VETO
2021-01-04,81.0,87.45,80.65,87.45,87.45,VETO
2021-01-01,79.0,80.0,78.4,79.55,79.5,VETO
2020-12-31,80.45,80.5,77.0,78.2,77.9,VETO
2020-12-30,81.45,81.45,78.6,78.95,79.5,VETO
2020-12-29,82.35,83.65,80.0,80.7,80.6,VETO
2020-12-28,83.8,83.95,79.65,81.15,81.4,VETO
2020-12-24,84.95,85.4,79.0,79.5,79.55,VETO
2020-12-23,78.0,83.9,74.5,83.5,83.9,VETO
2020-12-22,76.15,78.85,71.6,75.4,76.3,VETO
2020-12-21,80.1,82.55,74.5,76.0,76.1,VETO
2020-12-18,82.0,82.0,78.1,80.1,80.3,VETO
2020-12-17,85.0,85.0,79.45,80.5,79.9,VETO
2020-12-16,82.55,86.4,82.55,84.5,83.8,VETO
2020-12-15,86.5,88.7,81.5,82.8,82.9,VETO
2020-12-14,82.5,87.0,81.7,86.4,86.0,VETO
2020-12-11,83.1,85.8,82.0,83.5,83.65,VETO
2020-12-10,82.05,84.0,79.3,83.05,83.1,VETO
2020-12-09,79.8,86.7,79.15,82.1,82.05,VETO
2020-12-08,82.05,83.9,77.1,79.0,78.85,VETO
2020-12-07,76.5,82.8,76.5,81.65,80.3,VETO
2020-12-04,79.4,82.9,76.5,80.0,79.35,VETO
2020-12-03,77.85,79.8,73.0,78.5,78.85,VETO
2020-12-02,68.8,74.6,67.05,74.6,74.6,VETO
2020-12-01,67.85,69.75,67.0,67.45,67.85,VETO
2020-11-27,68.85,72.0,66.0,67.45,67.85,VETO
2020-11-26,68.5,68.55,66.55,68.5,68.15,VETO
2020-11-25,73.4,73.4,67.5,68.75,68.8,VETO
2020-11-24,68.85,75.7,64.5,71.95,71.4,VETO
2020-11-23,76.7,76.8,68.0,68.35,68.85,VETO
2020-11-20,66.5,71.75,63.95,71.75,71.75,VETO
2020-11-19,50.25,59.8,50.25,59.8,59.8,VETO
2020-11-18,48.9,50.85,46.2,50.1,49.85,VETO
2020-11-17,47.0,48.0,46.15,47.85,47.25,VETO
2020-11-14,48.0,48.0,46.0,47.55,47.5,VETO
2020-11-13,43.8,47.5,42.25,46.85,46.5,VETO
