DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-19,150.0,154.9,147.15,148.5,148.9,158.9,75.55,ZUARI
2021-07-16,150.65,153.5,149.95,150.0,150.25,158.9,75.55,ZUARI
2021-07-15,155.3,157.0,151.8,152.65,152.75,158.9,75.55,ZUARI
2021-07-14,152.3,158.9,152.3,155.5,154.7,158.9,75.55,ZUARI
2021-07-13,153.5,155.2,150.5,150.8,151.25,158.65,75.55,ZUARI
2021-07-12,158.25,158.5,151.1,153.0,152.2,158.65,75.55,ZUARI
2021-07-09,152.0,158.65,151.2,157.5,157.05,158.65,75.55,ZUARI
2021-07-08,148.45,158.65,148.1,152.15,151.75,158.65,75.55,ZUARI
2021-07-07,147.0,151.0,143.2,150.0,148.4,156.95,75.55,ZUARI
2021-07-06,150.2,156.95,146.6,147.25,147.95,156.95,75.55,ZUARI
2021-07-05,132.85,154.8,131.6,148.1,148.65,154.8,75.55,ZUARI
2021-07-02,126.2,132.5,126.2,130.15,130.65,144.5,75.55,ZUARI
2021-07-01,126.0,127.5,125.0,126.5,126.0,144.5,75.55,ZUARI
2021-06-30,128.15,131.05,124.85,126.0,126.0,144.5,75.55,ZUARI
2021-06-29,129.95,130.55,127.4,129.0,128.15,144.5,75.55,ZUARI
2021-06-28,129.7,135.0,128.1,128.5,128.65,144.5,75.55,ZUARI
2021-06-25,125.9,125.9,122.45,123.3,123.5,144.5,75.55,ZUARI
2021-06-24,127.9,130.0,124.0,124.05,124.75,144.5,75.55,ZUARI
2021-06-23,127.9,132.0,126.2,126.55,126.75,144.5,75.55,ZUARI
2021-06-22,128.9,132.4,125.0,126.2,126.95,144.5,75.55,ZUARI
2021-06-21,127.0,130.0,124.6,127.6,127.85,144.5,75.55,ZUARI
2021-06-18,133.05,136.9,120.0,129.9,129.9,144.5,75.55,ZUARI
2021-06-17,133.6,139.7,130.5,133.4,132.7,144.5,75.55,ZUARI
2021-06-16,129.95,144.5,124.4,134.6,135.4,144.5,75.55,ZUARI
2021-06-15,131.6,134.2,129.0,129.1,130.1,139.0,75.55,ZUARI
2021-06-14,123.75,134.35,117.55,130.0,130.7,139.0,75.55,ZUARI
2021-06-11,134.0,139.0,122.0,124.9,124.85,139.0,75.55,ZUARI
2021-06-10,109.1,127.7,107.7,127.7,127.7,127.7,75.55,ZUARI
2021-06-09,102.55,112.9,102.45,106.3,106.45,123.3,75.55,ZUARI
2021-06-08,101.0,102.25,99.5,101.0,100.75,123.3,75.55,ZUARI
2021-06-07,98.2,102.4,97.65,100.2,100.25,123.3,75.55,ZUARI
2021-06-04,97.85,98.4,96.05,96.35,96.5,123.3,75.55,ZUARI
2021-06-03,96.3,98.5,95.3,97.5,97.3,123.3,75.55,ZUARI
2021-06-02,92.6,95.75,92.6,95.5,95.25,123.3,75.55,ZUARI
2021-06-01,97.8,98.6,93.35,94.35,94.1,123.3,75.55,ZUARI
2021-05-31,99.85,102.3,96.8,97.0,97.05,123.3,75.55,ZUARI
2021-05-28,99.95,100.45,97.8,99.0,98.4,123.3,75.55,ZUARI
2021-05-27,101.8,102.4,98.0,98.15,98.45,123.3,75.55,ZUARI
2021-05-26,97.0,104.7,97.0,100.8,100.6,123.3,75.55,ZUARI
2021-05-25,95.0,97.8,94.6,96.45,96.05,123.3,75.55,ZUARI
2021-05-24,98.8,98.8,95.0,95.55,95.95,123.3,75.55,ZUARI
2021-05-21,98.8,99.6,97.45,97.8,97.9,123.3,75.55,ZUARI
2021-05-20,102.0,102.8,97.9,98.25,98.15,123.3,75.55,ZUARI
2021-05-19,98.1,99.9,97.45,97.8,97.8,123.3,75.55,ZUARI
2021-05-18,96.1,100.7,96.0,98.25,97.45,123.3,75.55,ZUARI
2021-05-17,98.5,100.8,96.5,97.75,97.9,123.3,75.55,ZUARI
2021-05-14,97.0,102.9,97.0,97.9,97.5,123.3,75.55,ZUARI
2021-05-12,93.55,99.0,93.5,95.35,95.5,123.3,75.55,ZUARI
