DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-16,77.25,78.6,75.35,75.75,76.1,90.6,42.35,JINDWORLD
2021-07-15,78.95,79.9,75.4,76.75,76.55,90.6,42.35,JINDWORLD
2021-07-14,78.45,81.95,77.5,78.65,78.55,90.6,42.35,JINDWORLD
2021-07-13,81.6,84.5,77.0,78.3,78.15,90.6,42.35,JINDWORLD
2021-07-12,77.5,90.6,76.3,81.6,80.8,90.6,42.35,JINDWORLD
2021-07-09,67.85,77.85,66.4,75.6,75.5,77.85,42.35,JINDWORLD
2021-07-08,69.1,69.35,65.6,66.2,66.55,74.45,42.35,JINDWORLD
2021-07-07,69.0,70.3,67.75,68.25,68.15,74.45,42.35,JINDWORLD
2021-07-06,71.9,73.45,67.55,68.75,68.45,74.45,42.35,JINDWORLD
2021-07-05,64.8,74.45,64.2,71.0,70.95,74.45,42.35,JINDWORLD
2021-07-02,63.0,64.7,62.05,63.5,64.0,72.0,42.35,JINDWORLD
2021-07-01,63.95,63.95,62.15,62.5,62.55,72.0,42.35,JINDWORLD
2021-06-30,63.0,65.75,62.6,63.05,63.05,72.0,42.35,JINDWORLD
2021-06-29,63.85,64.35,62.4,62.4,62.8,72.0,42.35,JINDWORLD
2021-06-28,63.0,65.35,62.2,63.5,62.85,72.0,42.35,JINDWORLD
2021-06-25,63.55,66.35,62.7,63.15,63.4,72.0,35.1,JINDWORLD
2021-06-24,66.45,67.85,61.7,63.3,62.85,72.0,35.1,JINDWORLD
2021-06-23,69.0,71.0,64.8,65.9,65.35,72.0,35.1,JINDWORLD
2021-06-22,69.15,71.0,68.0,69.95,69.25,72.0,35.1,JINDWORLD
2021-06-21,66.8,72.0,65.3,68.15,67.9,72.0,35.1,JINDWORLD
2021-06-18,66.95,71.45,61.35,67.8,67.3,71.75,35.0,JINDWORLD
2021-06-17,67.4,71.45,65.3,65.75,65.85,71.75,35.0,JINDWORLD
2021-06-16,63.15,71.75,62.3,67.55,68.2,71.75,35.0,JINDWORLD
2021-06-15,65.0,66.0,61.1,62.4,62.2,67.65,35.0,JINDWORLD
2021-06-14,56.5,67.4,53.5,63.65,63.75,67.65,35.0,JINDWORLD
2021-06-11,52.9,58.25,52.4,56.05,56.2,67.65,32.65,JINDWORLD
2021-06-10,52.6,53.0,51.95,52.4,52.4,67.65,32.65,JINDWORLD
2021-06-09,52.25,54.5,51.4,51.75,51.75,67.65,32.65,JINDWORLD
2021-06-08,52.5,52.7,50.65,51.45,51.35,67.65,32.65,JINDWORLD
2021-06-07,53.15,53.15,51.45,51.9,51.95,67.65,32.65,JINDWORLD
2021-06-04,53.25,53.65,52.0,52.85,52.45,67.65,26.9,JINDWORLD
2021-06-03,52.2,53.25,51.7,52.75,52.7,67.65,26.9,JINDWORLD
2021-06-02,52.2,52.9,51.0,52.0,51.5,67.65,26.9,JINDWORLD
2021-06-01,53.8,53.8,51.5,51.5,51.7,67.65,26.9,JINDWORLD
2021-05-31,52.0,55.0,50.4,53.0,52.8,67.65,26.9,JINDWORLD
2021-05-28,52.8,53.1,50.6,50.95,51.25,67.65,23.4,JINDWORLD
2021-05-27,52.8,53.7,51.05,51.65,51.7,67.65,23.4,JINDWORLD
2021-05-26,54.45,54.45,52.65,52.8,52.95,67.65,23.4,JINDWORLD
2021-05-25,52.9,54.1,51.15,54.0,53.65,67.65,23.4,JINDWORLD
2021-05-24,53.7,53.7,51.6,52.55,52.3,67.65,23.4,JINDWORLD
2021-05-21,54.45,54.45,51.2,53.3,53.35,67.65,23.25,JINDWORLD
2021-05-20,53.6,54.7,53.15,54.15,53.8,67.65,23.25,JINDWORLD
2021-05-19,54.5,54.65,52.5,52.7,52.95,67.65,23.25,JINDWORLD
2021-05-18,55.7,55.7,53.15,53.75,53.7,67.65,23.25,JINDWORLD
2021-05-17,52.7,56.0,52.7,54.0,54.15,67.65,23.25,JINDWORLD
2021-05-14,54.9,56.75,52.5,52.7,53.05,67.65,23.25,JINDWORLD
2021-05-12,53.0,57.2,51.3,54.0,54.4,67.65,23.25,JINDWORLD
2021-05-11,50.05,53.75,50.05,52.0,51.6,67.65,23.25,JINDWORLD
2021-05-10,54.8,54.85,50.6,52.5,51.35,67.65,23.25,JINDWORLD
2021-05-07,52.65,54.45,50.75,51.9,51.55,67.65,23.25,JINDWORLD
2021-05-06,46.25,51.8,46.0,51.7,50.6,67.65,23.25,JINDWORLD
2021-05-05,47.55,47.65,45.0,46.25,45.9,67.65,23.25,JINDWORLD
2021-05-04,46.9,48.5,46.15,47.2,46.75,67.65,23.25,JINDWORLD
2021-05-03,46.25,46.4,45.2,46.2,46.15,67.65,23.25,JINDWORLD
2021-04-30,45.4,46.35,45.25,45.85,45.7,67.65,23.25,JINDWORLD
2021-04-29,46.75,47.8,45.15,45.9,45.8,67.65,23.25,JINDWORLD
2021-04-28,46.85,46.85,45.5,45.95,45.9,67.65,23.25,JINDWORLD
2021-04-27,45.85,46.75,45.5,46.1,46.15,67.65,23.25,JINDWORLD
2021-04-26,47.5,47.5,45.05,45.7,45.35,67.65,23.25,JINDWORLD
