DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-28,48.2,51.3,48.2,50.1,66.9,26.05,GILLANDERS
2021-10-27,48.25,50.0,48.2,49.85,66.9,26.05,GILLANDERS
2021-10-26,51.3,51.35,49.7,49.7,66.9,26.05,GILLANDERS
2021-10-25,49.8,52.0,49.7,49.8,66.9,25.6,GILLANDERS
2021-10-22,54.0,54.8,51.8,52.3,66.9,25.6,GILLANDERS
2021-10-21,56.25,56.25,53.75,54.5,66.9,25.6,GILLANDERS
2021-10-20,53.8,57.1,53.5,53.95,66.9,25.6,GILLANDERS
2021-10-19,59.85,60.0,55.3,56.25,66.9,25.6,GILLANDERS
2021-10-18,57.55,58.65,55.55,57.5,66.9,25.6,GILLANDERS
2021-10-14,57.4,59.8,57.25,58.1,66.9,25.6,GILLANDERS
2021-10-13,62.1,62.5,60.15,60.15,66.9,25.6,GILLANDERS
2021-10-12,63.0,66.9,61.8,63.3,66.9,25.6,GILLANDERS
2021-07-19,62.25,62.5,60.0,60.35,64.3,25.6,GILLANDERS
2021-07-16,61.3,64.3,59.6,62.25,64.3,25.6,GILLANDERS
2021-07-15,60.65,63.3,58.3,60.45,64.0,25.6,GILLANDERS
2021-07-14,62.9,62.9,60.1,61.5,64.0,25.6,GILLANDERS
2021-07-13,63.9,63.9,59.5,60.25,64.0,25.6,GILLANDERS
2021-07-12,61.8,64.0,57.6,59.3,64.0,25.6,GILLANDERS
2021-07-09,55.9,59.9,54.85,59.25,59.9,25.6,GILLANDERS
2021-07-08,53.55,57.8,53.5,55.55,58.4,25.6,GILLANDERS
2021-07-07,56.3,57.95,53.5,54.9,58.4,25.6,GILLANDERS
2021-07-06,55.9,58.4,53.7,54.85,58.4,25.6,GILLANDERS
2021-07-05,51.1,54.85,48.65,54.85,54.85,25.6,GILLANDERS
2021-07-02,47.85,51.0,47.85,49.9,52.75,25.6,GILLANDERS
2021-07-01,49.25,49.25,46.15,46.9,52.75,25.6,GILLANDERS
2021-06-30,51.0,51.0,47.3,47.65,52.75,25.6,GILLANDERS
2021-06-29,49.0,51.25,46.5,48.65,52.75,25.6,GILLANDERS
2021-06-28,50.3,50.9,49.0,49.3,52.75,25.6,GILLANDERS
2021-06-25,49.7,50.0,49.25,49.45,52.75,25.6,GILLANDERS
2021-06-24,49.0,50.3,47.85,48.85,52.75,25.6,GILLANDERS
2021-06-23,50.8,50.8,48.5,49.2,52.75,25.6,GILLANDERS
2021-06-22,50.45,50.45,46.15,48.85,52.75,25.6,GILLANDERS
2021-06-21,47.35,47.8,46.0,46.8,52.75,25.6,GILLANDERS
2021-06-18,50.4,50.4,45.5,47.35,52.75,25.6,GILLANDERS
2021-06-17,46.15,49.5,45.2,48.0,52.75,25.6,GILLANDERS
2021-06-16,48.65,49.0,44.6,46.25,52.75,25.6,GILLANDERS
2021-06-15,48.4,48.4,46.05,47.05,52.75,25.6,GILLANDERS
2021-06-14,44.95,49.85,44.1,47.35,52.75,25.6,GILLANDERS
2021-06-11,50.0,50.0,45.05,46.4,52.75,25.6,GILLANDERS
2021-06-10,50.65,50.65,47.3,48.15,52.75,25.6,GILLANDERS
2021-06-09,49.0,49.95,46.9,47.25,52.75,25.6,GILLANDERS
2021-06-08,52.75,52.75,47.25,48.25,52.75,25.6,GILLANDERS
2021-06-07,49.5,49.5,46.25,48.8,51.1,25.6,GILLANDERS
2021-06-04,43.5,45.8,42.5,45.3,51.1,22.45,GILLANDERS
2021-06-03,43.85,44.0,42.75,43.65,51.1,22.45,GILLANDERS
2021-06-02,43.7,44.65,42.35,42.55,51.1,22.45,GILLANDERS
2021-06-01,46.2,46.2,42.45,42.6,51.1,22.45,GILLANDERS
2021-05-31,43.15,44.5,43.15,44.0,51.1,22.45,GILLANDERS
2021-05-28,45.85,45.85,42.1,42.75,51.1,21.25,GILLANDERS
2021-05-27,42.15,44.2,41.5,43.8,51.1,21.25,GILLANDERS
2021-05-26,42.05,42.85,41.05,42.1,51.1,21.25,GILLANDERS
2021-05-25,42.25,43.0,41.35,41.8,51.1,21.25,GILLANDERS
2021-05-24,43.9,44.3,42.0,43.0,51.1,21.25,GILLANDERS
2021-05-21,40.5,43.2,40.5,42.4,51.1,21.2,GILLANDERS
2021-05-20,42.45,42.8,40.3,41.2,51.1,21.2,GILLANDERS
2021-05-19,41.3,42.0,40.4,41.65,51.1,21.2,GILLANDERS
2021-05-18,42.75,42.75,41.35,41.7,51.1,21.2,GILLANDERS
2021-05-17,42.65,42.65,41.0,41.9,51.1,21.2,GILLANDERS
2021-05-14,41.05,42.95,40.6,40.9,51.1,18.85,GILLANDERS
2021-05-12,42.05,43.0,41.4,42.6,51.1,18.85,GILLANDERS
2021-05-11,39.9,41.95,39.9,41.4,51.1,18.85,GILLANDERS
2021-05-10,38.6,41.45,38.6,41.15,51.1,18.85,GILLANDERS
2021-05-07,39.95,41.0,38.55,39.55,51.1,18.85,GILLANDERS
2021-05-06,39.25,41.0,38.95,39.15,51.1,18.85,GILLANDERS
2021-05-05,42.45,42.45,39.25,39.9,51.1,18.85,GILLANDERS
2021-05-04,39.5,40.95,39.5,40.5,51.1,18.85,GILLANDERS
2021-05-03,37.7,40.25,37.7,39.0,51.1,18.85,GILLANDERS
2021-04-30,39.1,40.95,38.2,38.55,51.1,18.45,GILLANDERS
2021-04-29,38.65,40.5,37.25,39.0,51.1,18.45,GILLANDERS
2021-04-28,40.0,40.0,38.75,38.9,51.1,18.45,GILLANDERS
2021-04-27,38.3,39.95,38.1,39.9,51.1,18.45,GILLANDERS
2021-04-26,38.0,39.2,37.4,38.2,51.1,18.45,GILLANDERS
2021-04-23,36.75,38.8,36.75,37.35,51.1,18.45,GILLANDERS
2021-04-22,38.0,38.0,36.55,37.0,51.1,18.45,GILLANDERS
2021-04-20,36.9,38.25,36.75,37.0,51.1,18.45,GILLANDERS
2021-04-19,39.95,39.95,37.0,37.7,51.1,18.45,GILLANDERS
2021-04-16,39.15,40.95,38.0,38.9,51.1,18.45,GILLANDERS
2021-04-15,38.4,41.75,38.4,39.4,51.1,18.45,GILLANDERS
2021-04-13,42.0,42.0,40.0,40.1,51.1,18.45,GILLANDERS
2021-04-12,42.6,44.45,42.1,42.1,51.1,18.45,GILLANDERS
2021-04-09,43.55,44.35,42.3,44.3,51.1,17.6,GILLANDERS
2021-04-08,40.35,43.5,40.3,42.25,51.1,17.6,GILLANDERS
2021-04-07,41.45,42.0,41.45,41.45,51.1,17.6,GILLANDERS
2021-04-06,42.35,42.35,39.95,40.55,51.1,17.6,GILLANDERS
2021-04-05,40.55,41.75,40.5,41.35,51.1,17.6,GILLANDERS
2021-04-01,42.4,42.4,40.4,41.15,51.1,16.25,GILLANDERS
2021-03-31,40.65,42.5,40.65,41.15,51.1,16.25,GILLANDERS
2021-03-30,43.2,43.2,40.1,40.55,51.1,16.25,GILLANDERS
2021-03-26,43.1,43.1,41.05,41.2,51.1,15.95,GILLANDERS
2021-03-25,41.9,42.7,40.95,41.1,51.1,15.95,GILLANDERS
2021-03-24,40.0,42.35,40.0,41.5,51.1,15.95,GILLANDERS
2021-03-23,43.15,43.15,41.15,42.0,51.1,15.95,GILLANDERS
2021-03-22,43.55,43.55,41.4,41.8,51.1,15.95,GILLANDERS
2021-03-19,47.7,47.7,43.35,43.55,51.1,15.95,GILLANDERS
2021-03-18,46.05,47.05,44.8,45.6,51.1,15.95,GILLANDERS
2021-03-17,48.2,48.55,45.5,45.6,51.1,15.95,GILLANDERS
2021-03-16,46.85,48.4,45.2,46.25,51.1,15.95,GILLANDERS
2021-03-15,47.3,48.2,45.65,46.3,51.1,15.95,GILLANDERS
2021-03-12,48.0,48.0,46.05,47.3,51.1,15.95,GILLANDERS
2021-03-10,46.45,46.5,44.6,45.8,51.1,15.95,GILLANDERS
2021-03-09,43.8,46.4,43.8,46.05,51.1,15.95,GILLANDERS
2021-03-08,45.85,45.85,43.7,44.2,51.1,15.95,GILLANDERS
2021-03-05,45.9,45.9,43.4,44.95,51.1,15.95,GILLANDERS
2021-03-04,44.5,46.0,44.0,44.4,51.1,15.95,GILLANDERS
2021-03-03,46.0,46.25,42.0,45.4,51.1,15.95,GILLANDERS
2021-03-02,44.0,44.15,42.75,44.15,51.1,15.95,GILLANDERS
2021-03-01,41.5,42.15,40.8,42.05,51.1,15.95,GILLANDERS
2021-02-26,40.0,40.15,39.05,40.15,51.1,15.95,GILLANDERS
2021-02-25,37.45,38.25,36.35,38.25,51.1,15.95,GILLANDERS
2021-02-24,36.5,37.75,35.9,36.45,51.1,15.95,GILLANDERS
2021-02-23,36.8,38.2,36.5,37.75,51.1,15.95,GILLANDERS
2021-02-22,39.0,39.0,36.35,36.4,51.1,15.95,GILLANDERS
2021-02-19,37.55,38.9,37.5,38.15,51.1,15.95,GILLANDERS
2021-02-18,36.95,38.75,36.0,38.75,51.1,15.95,GILLANDERS
2021-02-17,36.4,37.65,36.4,36.95,51.1,15.95,GILLANDERS
2021-02-16,38.9,39.0,36.3,37.35,51.1,15.95,GILLANDERS
2021-02-15,40.1,41.5,38.65,38.9,51.1,15.95,GILLANDERS
2021-02-12,43.0,43.1,42.85,42.85,51.1,15.95,GILLANDERS
2021-02-11,46.1,49.5,44.15,47.6,51.1,15.95,GILLANDERS
2021-02-10,47.2,47.65,45.9,46.4,51.1,15.95,GILLANDERS
2021-02-09,46.1,48.0,46.1,47.1,51.1,15.95,GILLANDERS
2021-02-08,48.55,49.7,47.0,47.15,51.1,15.95,GILLANDERS
2021-02-05,46.3,50.7,45.0,48.2,51.1,15.95,GILLANDERS
2021-02-04,48.25,48.25,46.2,46.4,51.1,15.95,GILLANDERS
2021-02-03,46.25,48.2,45.05,48.15,51.1,15.95,GILLANDERS
2021-02-02,46.9,46.9,45.6,45.95,51.1,15.95,GILLANDERS
2021-02-01,43.0,44.7,42.75,44.7,51.1,15.95,GILLANDERS
2021-01-29,42.0,43.35,41.05,42.6,51.1,15.95,GILLANDERS
2021-01-28,40.1,42.95,40.1,41.85,51.1,15.95,GILLANDERS
2021-01-27,42.05,43.5,39.9,42.05,51.1,15.95,GILLANDERS
2021-01-25,44.25,44.25,41.2,41.5,51.1,15.95,GILLANDERS
2021-01-22,42.5,44.45,41.2,42.45,51.1,15.95,GILLANDERS
2021-01-21,44.55,44.55,42.3,42.7,51.1,15.95,GILLANDERS
2021-01-20,44.85,45.0,42.8,43.35,51.1,15.95,GILLANDERS
2021-01-19,45.4,45.5,43.65,43.85,51.1,15.95,GILLANDERS
2021-01-18,44.55,44.55,42.85,43.4,51.1,15.95,GILLANDERS
2021-01-15,46.25,46.25,44.3,44.55,51.1,15.95,GILLANDERS
