DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,570.0,582.8,545.0,575.7,742.0,143.0,HIKAL
2021-10-28,554.0,583.0,532.25,570.95,742.0,143.0,HIKAL
2021-10-27,501.05,567.6,501.05,550.55,742.0,143.0,HIKAL
2021-10-26,474.3,530.0,474.3,501.45,742.0,143.0,HIKAL
2021-10-25,491.0,494.5,463.1,465.5,742.0,143.0,HIKAL
2021-10-22,505.0,521.0,477.95,485.95,742.0,143.0,HIKAL
2021-10-21,514.0,516.4,495.2,500.65,742.0,143.0,HIKAL
2021-10-20,503.5,516.1,497.0,501.55,742.0,143.0,HIKAL
2021-10-19,541.7,545.0,512.0,518.3,742.0,143.0,HIKAL
2021-10-18,528.0,544.0,515.0,540.35,742.0,143.0,HIKAL
2021-10-14,491.0,526.0,481.1,522.75,742.0,143.0,HIKAL
2021-10-13,520.0,526.7,491.0,494.4,742.0,143.0,HIKAL
2021-10-12,511.0,537.0,511.0,516.75,742.0,143.0,HIKAL
2021-10-11,530.0,537.65,512.5,515.3,742.0,143.0,HIKAL
2021-10-08,550.0,556.0,535.0,537.75,742.0,143.0,HIKAL
2021-10-07,545.0,559.95,530.0,544.95,742.0,143.0,HIKAL
2021-10-06,557.9,559.9,536.9,539.35,742.0,143.0,HIKAL
2021-10-05,560.1,581.45,547.5,553.65,742.0,143.0,HIKAL
2021-10-04,576.1,576.5,550.0,556.5,742.0,143.0,HIKAL
2021-10-01,604.0,604.0,568.3,576.55,742.0,143.0,HIKAL
2021-09-30,618.95,619.0,601.5,603.45,742.0,143.0,HIKAL
2021-09-29,606.8,622.2,595.0,618.1,742.0,143.0,HIKAL
2021-09-28,613.0,620.0,600.05,606.65,742.0,143.0,HIKAL
2021-09-27,625.0,632.2,608.5,611.35,742.0,143.0,HIKAL
2021-09-24,644.7,648.8,625.55,629.9,742.0,143.0,HIKAL
2021-09-23,648.4,657.9,635.0,638.75,742.0,143.0,HIKAL
2021-09-22,650.4,668.55,638.0,641.95,742.0,143.0,HIKAL
2021-09-21,638.3,658.3,617.0,641.4,742.0,143.0,HIKAL
2021-09-20,667.0,674.3,634.0,639.65,742.0,143.0,HIKAL
2021-09-17,699.8,700.0,656.05,675.5,742.0,143.0,HIKAL
2021-09-16,717.4,729.0,690.85,696.35,742.0,143.0,HIKAL
2021-09-15,657.4,719.0,656.0,710.35,742.0,143.0,HIKAL
2021-09-14,656.75,676.0,650.0,654.0,742.0,143.0,HIKAL
2021-09-13,660.0,662.3,647.1,650.15,742.0,143.0,HIKAL
2021-09-09,642.0,670.0,642.0,660.5,742.0,143.0,HIKAL
2021-09-08,645.1,655.85,636.05,644.0,742.0,143.0,HIKAL
2021-09-07,634.0,649.35,631.9,640.6,742.0,143.0,HIKAL
2021-09-06,630.0,643.7,629.0,633.3,742.0,143.0,HIKAL
2021-09-03,635.0,650.0,626.1,628.45,742.0,143.0,HIKAL
2021-09-02,627.75,650.0,626.0,634.1,742.0,143.0,HIKAL
2021-09-01,632.0,645.0,620.0,624.3,742.0,143.0,HIKAL
2021-08-31,648.0,669.25,627.0,631.8,742.0,143.0,HIKAL
2021-08-30,651.0,659.0,640.85,646.35,742.0,143.0,HIKAL
2021-08-27,635.95,659.0,632.1,647.6,742.0,143.0,HIKAL
2021-08-26,629.0,644.0,616.5,631.1,742.0,143.0,HIKAL
2021-08-25,621.2,638.95,610.0,626.7,742.0,143.0,HIKAL
2021-08-24,585.95,647.0,585.0,617.45,742.0,143.0,HIKAL
2021-08-23,637.8,647.6,575.0,584.25,742.0,143.0,HIKAL
2021-08-20,669.95,674.5,630.05,634.9,742.0,134.2,HIKAL
2021-08-18,696.65,697.85,670.0,675.5,742.0,134.2,HIKAL
2021-08-17,679.85,742.0,675.0,693.7,742.0,134.2,HIKAL
2021-08-16,699.8,699.8,670.0,678.95,710.0,134.2,HIKAL
2021-08-13,706.7,707.5,677.0,696.4,710.0,133.0,HIKAL
2021-08-12,654.0,710.0,650.85,701.3,710.0,133.0,HIKAL
2021-08-11,574.0,658.65,571.6,647.25,658.65,133.0,HIKAL
2021-08-10,627.25,631.7,501.0,574.55,653.8,133.0,HIKAL
2021-08-09,615.0,648.9,614.9,625.4,653.8,133.0,HIKAL
2021-08-06,619.55,631.7,595.0,615.6,653.8,130.0,HIKAL
2021-08-05,547.4,653.8,521.55,613.6,653.8,130.0,HIKAL
2021-08-04,559.8,563.8,549.0,552.5,572.7,130.0,HIKAL
2021-08-03,553.9,571.7,553.85,557.25,572.7,130.0,HIKAL
2021-08-02,535.0,565.0,533.0,549.65,572.7,130.0,HIKAL
2021-07-30,523.95,549.0,515.5,535.1,572.7,130.0,HIKAL
2021-07-29,535.0,535.0,515.0,524.7,572.7,130.0,HIKAL
2021-07-28,528.0,538.6,518.05,532.8,572.7,130.0,HIKAL
