DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,26.05,26.35,25.05,26.05,43.5,17.3,MCLEODRUSS
2021-10-28,28.0,28.15,26.1,26.2,43.5,17.3,MCLEODRUSS
2021-10-27,26.05,27.45,25.95,27.45,43.5,17.3,MCLEODRUSS
2021-10-26,25.45,26.15,25.15,26.15,43.5,17.3,MCLEODRUSS
2021-10-25,26.0,26.65,24.95,24.95,43.5,17.3,MCLEODRUSS
2021-10-22,27.0,27.7,25.8,26.25,43.5,17.3,MCLEODRUSS
2021-10-21,27.2,27.65,26.5,27.05,43.5,17.3,MCLEODRUSS
2021-10-20,28.7,28.7,26.75,26.75,43.5,17.3,MCLEODRUSS
2021-10-19,29.95,29.95,27.95,28.15,43.5,17.3,MCLEODRUSS
2021-10-18,29.7,30.6,29.1,29.4,43.5,17.3,MCLEODRUSS
2021-10-14,29.9,30.9,29.35,29.6,43.5,17.3,MCLEODRUSS
2021-10-13,29.2,30.35,28.2,30.25,43.5,17.3,MCLEODRUSS
2021-10-12,30.0,30.4,28.75,28.95,43.5,17.3,MCLEODRUSS
2021-09-08,31.1,31.1,30.4,31.1,43.5,17.3,MCLEODRUSS
2021-09-07,29.65,29.65,28.25,29.65,43.5,17.3,MCLEODRUSS
2021-09-06,27.95,28.25,27.6,28.25,43.5,17.3,MCLEODRUSS
2021-09-03,26.95,26.95,24.6,26.95,43.5,17.3,MCLEODRUSS
2021-09-02,25.7,25.7,25.7,25.7,43.5,17.3,MCLEODRUSS
2021-09-01,24.5,24.5,24.5,24.5,43.5,17.3,MCLEODRUSS
2021-08-31,23.35,23.35,23.35,23.35,43.5,17.3,MCLEODRUSS
2021-08-30,22.25,22.25,22.25,22.25,43.5,17.3,MCLEODRUSS
2021-08-27,21.2,21.2,21.2,21.2,43.5,17.3,MCLEODRUSS
2021-08-26,20.2,20.2,20.2,20.2,43.5,17.3,MCLEODRUSS
2021-08-25,18.05,19.25,18.05,19.25,43.5,17.3,MCLEODRUSS
2021-08-24,18.3,19.7,18.3,18.35,43.5,17.3,MCLEODRUSS
2021-08-23,19.25,20.65,19.25,19.25,43.5,17.3,MCLEODRUSS
2021-08-20,20.25,20.25,20.25,20.25,43.5,17.3,MCLEODRUSS
2021-08-18,21.3,21.3,21.3,21.3,43.5,17.3,MCLEODRUSS
2021-08-17,22.4,22.4,22.4,22.4,43.5,17.3,MCLEODRUSS
2021-08-16,23.85,24.05,23.55,23.55,43.5,17.3,MCLEODRUSS
2021-08-13,26.7,26.85,24.75,24.75,43.5,17.3,MCLEODRUSS
2021-08-12,24.15,26.05,23.8,26.05,43.5,17.3,MCLEODRUSS
2021-08-11,24.75,27.5,24.75,24.85,43.5,17.3,MCLEODRUSS
2021-08-10,27.5,27.5,27.5,27.5,43.5,17.3,MCLEODRUSS
2021-08-09,30.55,30.55,30.55,30.55,43.5,17.3,MCLEODRUSS
2021-08-06,35.1,35.2,32.4,33.9,43.5,17.3,MCLEODRUSS
2021-08-05,31.3,32.7,30.65,32.6,43.5,17.3,MCLEODRUSS
2021-08-04,31.5,32.65,30.6,31.15,43.5,17.3,MCLEODRUSS
2021-08-03,31.5,31.85,30.65,31.1,43.5,17.3,MCLEODRUSS
2021-08-02,34.25,35.15,32.25,32.25,43.5,17.3,MCLEODRUSS
2021-07-30,35.7,36.4,33.3,33.9,43.5,17.3,MCLEODRUSS
2021-07-29,34.8,34.8,34.8,34.8,43.5,17.3,MCLEODRUSS
2021-07-28,33.0,33.15,31.9,33.15,43.5,17.3,MCLEODRUSS
2021-07-27,29.3,31.6,29.3,31.6,43.5,17.3,MCLEODRUSS
2021-07-26,30.5,31.0,29.3,30.1,43.5,17.3,MCLEODRUSS
2021-07-23,33.15,33.5,30.8,30.8,43.5,17.3,MCLEODRUSS
2021-07-22,32.9,33.6,31.6,32.4,43.5,17.3,MCLEODRUSS
2021-07-20,34.6,35.3,33.0,33.0,43.5,17.3,MCLEODRUSS
2021-06-16,36.25,39.15,35.45,39.15,43.5,17.3,MCLEODRUSS
2021-06-15,39.5,40.5,37.1,37.3,43.5,17.3,MCLEODRUSS
2021-06-14,41.0,41.8,38.95,39.05,43.5,17.3,MCLEODRUSS
2021-06-11,41.2,42.2,40.15,41.0,43.5,17.3,MCLEODRUSS
2021-06-10,39.95,41.9,38.0,40.4,43.5,17.3,MCLEODRUSS
2021-06-09,42.45,43.5,39.8,39.95,43.5,17.3,MCLEODRUSS
2021-06-08,41.8,41.85,38.75,41.85,41.85,17.3,MCLEODRUSS
2021-06-07,39.9,39.9,38.8,39.9,39.9,17.3,MCLEODRUSS
2021-06-04,37.95,38.0,36.5,38.0,38.0,17.3,MCLEODRUSS
2021-06-03,34.9,36.35,34.6,36.2,36.35,17.3,MCLEODRUSS
2021-06-02,35.65,35.65,32.95,34.65,35.65,17.3,MCLEODRUSS
