DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,432.5,444.8,415.55,430.65,570.5,86.05,TEJASNET
2021-10-28,450.0,450.0,425.05,432.75,570.5,86.05,TEJASNET
2021-10-27,454.0,462.75,441.5,445.5,570.5,86.05,TEJASNET
2021-10-26,409.05,440.75,403.65,440.75,570.5,86.05,TEJASNET
2021-10-25,445.5,449.0,419.8,419.8,570.5,86.05,TEJASNET
2021-10-22,445.0,466.6,433.55,441.85,570.5,72.4,TEJASNET
2021-10-21,452.5,460.0,444.95,447.45,570.5,72.4,TEJASNET
2021-10-20,495.0,498.2,468.35,468.35,570.5,72.4,TEJASNET
2021-10-19,519.95,522.85,492.15,492.95,570.5,72.4,TEJASNET
2021-10-18,539.2,539.2,514.0,518.05,570.5,67.9,TEJASNET
2021-10-14,510.0,513.55,483.2,513.55,570.5,67.9,TEJASNET
2021-10-13,486.75,496.05,476.25,489.1,570.5,67.9,TEJASNET
2021-10-12,487.0,495.0,479.4,484.9,570.5,67.65,TEJASNET
2021-10-11,505.0,505.0,477.15,479.25,570.5,67.65,TEJASNET
2021-10-08,513.0,514.4,495.0,500.35,570.5,62.4,TEJASNET
2021-10-07,477.25,514.9,477.25,497.65,570.5,56.3,TEJASNET
2021-10-06,498.0,507.5,490.4,490.4,570.5,56.3,TEJASNET
2021-10-05,560.0,570.5,516.2,516.2,570.5,56.3,TEJASNET
2021-10-04,543.35,543.35,517.55,543.35,543.35,56.3,TEJASNET
2021-10-01,505.4,517.5,501.3,517.5,517.5,56.3,TEJASNET
2021-09-30,476.0,492.9,470.75,492.9,494.0,56.3,TEJASNET
2021-09-29,490.0,494.0,461.3,469.45,494.0,56.3,TEJASNET
2021-09-28,479.9,482.1,461.6,482.1,482.1,56.3,TEJASNET
2021-09-27,449.0,459.15,431.0,459.15,472.15,56.3,TEJASNET
2021-09-15,421.0,441.95,421.0,434.9,472.15,56.3,TEJASNET
2021-09-14,425.0,439.0,415.0,420.95,472.15,56.3,TEJASNET
2021-09-13,465.0,472.15,427.25,434.7,472.15,46.25,TEJASNET
2021-06-08,179.75,182.0,173.0,179.85,220.85,46.25,TEJASNET
2021-06-07,186.0,186.0,178.0,179.15,220.85,46.25,TEJASNET
2021-06-04,183.9,187.2,182.65,185.35,220.85,36.55,TEJASNET
2021-06-03,183.45,185.0,177.0,178.3,220.85,36.55,TEJASNET
