DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,341.05,356.0,341.05,352.1,365.7,200.25,LAOPALA
2021-11-11,345.15,354.0,336.9,341.55,365.7,200.25,LAOPALA
2021-11-10,354.0,360.9,343.4,346.5,365.7,200.25,LAOPALA
2021-11-09,349.9,365.7,347.95,356.0,365.7,200.25,LAOPALA
2021-11-08,346.0,358.5,336.05,349.6,358.5,200.25,LAOPALA
2021-11-04,345.0,348.85,342.4,346.6,355.5,200.25,LAOPALA
2021-11-03,344.0,355.5,331.0,341.15,355.5,200.25,LAOPALA
2021-11-02,309.0,349.0,302.85,335.15,349.0,200.25,LAOPALA
2021-11-01,293.0,311.0,292.1,308.7,327.45,200.25,LAOPALA
2021-10-29,291.05,295.65,287.0,291.85,327.45,200.25,LAOPALA
2021-10-28,297.8,301.0,292.3,294.4,327.45,200.25,LAOPALA
2021-10-27,298.5,305.0,293.05,296.25,327.45,200.25,LAOPALA
2021-10-26,291.0,304.0,281.4,296.95,327.45,200.25,LAOPALA
2021-10-25,305.5,308.0,288.05,290.0,327.45,200.25,LAOPALA
2021-10-22,299.8,307.65,297.25,302.5,327.45,200.25,LAOPALA
2021-10-21,298.9,303.65,295.05,297.6,327.45,200.25,LAOPALA
2021-10-20,310.05,313.25,294.65,297.85,327.45,200.25,LAOPALA
2021-10-19,309.4,317.0,306.25,310.5,327.45,200.25,LAOPALA
2021-10-18,308.5,314.9,306.65,307.7,327.45,200.25,LAOPALA
2021-10-14,308.9,316.5,306.0,307.5,327.45,200.25,LAOPALA
2021-10-13,308.65,312.8,305.0,306.55,327.45,200.25,LAOPALA
2021-10-12,313.7,314.8,306.25,307.9,327.45,200.25,LAOPALA
2021-10-11,312.4,320.0,309.65,312.75,327.45,200.25,LAOPALA
2021-10-08,315.0,316.85,308.35,309.85,327.45,200.25,LAOPALA
2021-10-07,314.8,318.7,312.0,313.25,327.45,200.25,LAOPALA
2021-10-06,324.8,324.85,310.0,311.85,327.45,200.25,LAOPALA
2021-10-05,309.0,327.45,306.05,321.15,327.45,200.25,LAOPALA
2021-10-04,309.7,312.0,305.5,306.9,326.0,200.25,LAOPALA
2021-10-01,308.5,314.55,305.25,307.1,326.0,200.25,LAOPALA
2021-09-30,320.0,323.0,305.6,309.8,326.0,200.25,LAOPALA
2021-09-29,300.0,320.0,299.95,318.05,326.0,200.25,LAOPALA
2021-09-28,299.0,303.35,294.3,299.3,326.0,200.25,LAOPALA
2021-09-27,297.95,300.5,293.2,295.05,326.0,200.25,LAOPALA
2021-09-24,297.7,300.95,292.5,292.75,326.0,196.35,LAOPALA
2021-09-23,298.0,304.0,295.1,296.25,326.0,196.35,LAOPALA
2021-09-22,293.3,302.0,290.1,294.6,326.0,196.35,LAOPALA
2021-09-21,286.0,293.9,281.1,291.8,326.0,196.35,LAOPALA
2021-09-20,295.0,301.0,287.4,289.65,326.0,196.35,LAOPALA
2021-09-17,303.65,305.0,287.9,301.65,326.0,196.35,LAOPALA
2021-09-16,293.1,304.8,293.1,302.1,326.0,196.35,LAOPALA
2021-09-15,295.35,298.9,291.5,294.7,326.0,196.35,LAOPALA
2021-09-14,295.8,298.0,290.6,292.5,326.0,196.35,LAOPALA
2021-09-13,303.05,314.95,291.1,293.1,326.0,196.35,LAOPALA
2021-09-09,298.55,303.95,295.65,301.2,326.0,194.6,LAOPALA
2021-09-08,302.0,305.25,295.55,297.65,326.0,194.6,LAOPALA
2021-09-07,310.8,311.05,300.1,300.7,326.0,194.6,LAOPALA
2021-09-06,308.15,315.5,306.1,309.3,326.0,194.6,LAOPALA
2021-09-03,314.9,326.0,305.1,307.65,326.0,194.6,LAOPALA
2021-09-02,277.7,313.7,277.05,308.25,314.8,194.6,LAOPALA
2021-09-01,275.6,279.9,275.0,276.3,314.8,194.6,LAOPALA
2021-08-31,284.85,284.85,276.1,277.8,314.8,194.6,LAOPALA
2021-08-30,281.7,284.8,279.2,282.3,314.8,194.6,LAOPALA
2021-08-27,270.55,286.0,270.0,276.5,314.8,194.6,LAOPALA
2021-08-26,271.35,274.05,270.0,270.5,314.8,194.6,LAOPALA
2021-08-25,272.55,277.0,270.2,271.15,314.8,194.6,LAOPALA
2021-08-24,274.6,274.6,268.7,272.1,314.8,194.6,LAOPALA
2021-08-23,269.95,274.0,260.15,270.7,314.8,194.6,LAOPALA
2021-08-20,273.0,277.45,268.0,269.55,314.8,191.05,LAOPALA
2021-08-18,275.05,278.1,270.5,275.1,314.8,191.05,LAOPALA
2021-08-17,276.9,278.8,271.55,274.95,314.8,191.05,LAOPALA
2021-08-16,270.0,279.8,268.3,274.95,314.8,191.05,LAOPALA
2021-08-13,277.45,282.0,270.3,272.65,314.8,184.65,LAOPALA
2021-08-12,270.05,277.0,270.05,276.1,314.8,184.65,LAOPALA
2021-08-11,268.65,274.25,260.0,270.85,314.8,184.65,LAOPALA
2021-08-10,279.0,279.0,262.75,266.2,314.8,184.65,LAOPALA
2021-08-09,279.0,282.95,274.2,275.45,314.8,184.65,LAOPALA
2021-08-06,277.0,285.0,276.5,278.05,314.8,176.35,LAOPALA
2021-08-05,285.0,285.6,273.1,275.5,314.8,176.35,LAOPALA
2021-08-04,295.0,297.0,282.2,284.4,314.8,176.35,LAOPALA
2021-08-03,290.1,314.8,290.1,295.75,314.8,176.35,LAOPALA
2021-08-02,282.3,296.0,278.25,288.7,296.25,176.35,LAOPALA
2021-07-30,271.6,283.9,270.05,279.05,296.25,176.35,LAOPALA
2021-07-29,268.05,274.1,267.9,271.6,296.25,176.35,LAOPALA
2021-07-28,272.0,273.05,265.2,266.7,296.25,176.35,LAOPALA
2021-07-27,277.5,279.0,270.0,271.7,296.25,176.35,LAOPALA
2021-07-26,274.7,279.9,271.55,275.15,296.25,176.35,LAOPALA
2021-07-23,274.0,277.25,270.0,273.4,296.25,176.35,LAOPALA
2021-07-22,264.8,273.45,263.65,271.9,296.25,176.35,LAOPALA
2021-07-20,268.7,271.45,261.65,262.75,296.25,176.35,LAOPALA
2021-07-19,270.55,275.3,268.4,270.05,296.25,176.35,LAOPALA
2021-07-16,274.9,277.45,272.4,273.9,296.25,176.35,LAOPALA
2021-07-15,277.7,281.5,271.9,272.95,296.25,176.35,LAOPALA
2021-07-14,276.9,282.9,274.45,275.65,296.25,176.35,LAOPALA
2021-07-13,281.8,283.2,275.3,276.9,296.25,176.35,LAOPALA
2021-07-12,267.9,287.0,267.9,279.55,296.25,176.35,LAOPALA
2021-07-09,267.4,268.75,265.55,266.55,296.25,176.35,LAOPALA
2021-07-08,268.0,271.6,265.25,267.4,296.25,176.35,LAOPALA
2021-07-07,269.95,272.0,268.1,270.35,296.25,176.35,LAOPALA
2021-07-06,268.05,274.5,268.05,269.2,296.25,176.35,LAOPALA
2021-07-05,272.6,274.9,266.5,267.3,296.25,176.35,LAOPALA
2021-07-02,274.5,276.0,268.1,269.25,296.25,176.35,LAOPALA
2021-07-01,282.8,288.0,271.0,272.6,296.25,176.35,LAOPALA
2021-06-30,264.55,296.25,264.55,280.85,296.25,176.35,LAOPALA
