DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,685.4,686.85,670.0,673.2,818.75,267.95,SUPPETRO
2021-11-11,669.5,688.0,660.0,677.25,818.75,267.95,SUPPETRO
2021-11-10,691.0,699.95,647.15,654.4,818.75,267.95,SUPPETRO
2021-11-09,700.0,709.05,680.0,683.7,818.75,267.95,SUPPETRO
2021-11-08,686.7,698.7,674.6,691.95,818.75,267.95,SUPPETRO
2021-11-04,649.0,680.0,648.95,674.6,818.75,241.0,SUPPETRO
2021-11-03,643.0,649.0,626.0,636.25,818.75,241.0,SUPPETRO
2021-11-02,647.5,655.85,630.0,642.3,818.75,241.0,SUPPETRO
2021-11-01,626.0,650.95,624.1,646.9,818.75,241.0,SUPPETRO
2021-10-29,639.0,640.0,621.0,626.15,818.75,241.0,SUPPETRO
2021-10-28,648.8,656.1,624.1,627.3,818.75,241.0,SUPPETRO
2021-10-27,630.5,660.0,630.5,644.85,818.75,241.0,SUPPETRO
2021-10-26,627.1,640.0,627.1,629.95,818.75,241.0,SUPPETRO
2021-10-25,642.0,649.95,626.0,637.3,818.75,241.0,SUPPETRO
2021-10-22,718.0,718.0,634.0,640.8,818.75,241.0,SUPPETRO
2021-10-21,706.0,706.0,677.0,689.7,818.75,241.0,SUPPETRO
2021-10-20,769.9,775.85,728.0,731.65,818.75,241.0,SUPPETRO
2021-10-19,781.8,782.55,752.0,769.9,818.75,241.0,SUPPETRO
2021-10-18,818.75,818.75,761.35,768.45,818.75,241.0,SUPPETRO
2021-10-14,749.9,755.9,740.25,744.35,815.0,238.1,SUPPETRO
2021-10-13,749.0,751.8,738.0,746.1,815.0,238.1,SUPPETRO
2021-10-12,724.15,740.0,724.15,736.85,815.0,238.1,SUPPETRO
2021-10-11,740.0,747.95,717.95,724.15,815.0,238.1,SUPPETRO
2021-10-08,745.9,745.9,697.55,726.95,815.0,238.1,SUPPETRO
2021-10-07,740.25,753.7,702.1,734.25,815.0,238.1,SUPPETRO
2021-10-06,770.0,770.0,731.0,734.9,815.0,238.1,SUPPETRO
2021-10-05,738.5,764.0,738.5,757.2,815.0,238.1,SUPPETRO
2021-10-04,725.0,749.95,720.0,739.55,815.0,238.1,SUPPETRO
2021-10-01,682.0,720.0,680.1,718.15,815.0,213.95,SUPPETRO
2021-09-30,695.95,695.95,684.1,686.8,815.0,210.6,SUPPETRO
2021-09-29,695.0,700.0,679.1,686.1,815.0,197.5,SUPPETRO
2021-09-28,693.4,707.95,690.1,698.75,815.0,197.5,SUPPETRO
2021-09-27,686.6,709.05,686.6,693.4,815.0,197.5,SUPPETRO
2021-09-24,704.0,711.05,682.05,686.6,815.0,184.2,SUPPETRO
2021-09-23,709.0,716.0,700.0,703.45,815.0,182.15,SUPPETRO
2021-09-22,698.8,716.0,683.2,697.45,815.0,176.55,SUPPETRO
2021-09-21,700.0,704.45,684.25,691.15,815.0,175.75,SUPPETRO
2021-09-20,691.1,719.0,691.1,695.85,815.0,175.75,SUPPETRO
2021-09-17,708.95,720.6,682.25,710.35,815.0,175.75,SUPPETRO
2021-09-16,714.0,714.0,694.05,697.45,815.0,168.1,SUPPETRO
2021-09-15,713.0,715.0,702.85,705.25,815.0,164.0,SUPPETRO
2021-09-14,713.0,713.0,696.65,709.95,815.0,164.0,SUPPETRO
2021-09-13,701.0,718.0,696.0,703.0,815.0,162.0,SUPPETRO
2021-06-08,774.0,777.0,763.0,768.15,815.0,157.2,SUPPETRO
2021-06-07,774.75,775.0,760.0,769.3,815.0,157.2,SUPPETRO
2021-06-04,781.0,784.0,765.0,769.6,815.0,152.0,SUPPETRO
2021-06-03,774.0,785.0,767.2,781.3,815.0,152.0,SUPPETRO
2021-06-02,770.0,784.55,765.0,774.1,815.0,152.0,SUPPETRO
2021-06-01,794.7,794.7,761.95,771.55,815.0,152.0,SUPPETRO
2021-05-31,760.0,789.5,754.85,778.8,815.0,152.0,SUPPETRO
2021-05-28,767.45,770.0,742.55,746.1,815.0,148.05,SUPPETRO
2021-05-27,745.0,790.0,740.1,776.0,815.0,148.05,SUPPETRO
2021-05-26,802.85,815.0,755.0,760.7,815.0,148.05,SUPPETRO
2021-05-25,727.0,800.7,720.0,791.1,800.7,148.05,SUPPETRO
2021-05-24,734.0,749.8,716.0,727.95,763.9,148.05,SUPPETRO
2021-05-21,708.0,730.2,703.0,729.65,763.9,147.45,SUPPETRO
2021-05-20,702.6,715.0,681.2,699.15,763.9,147.45,SUPPETRO
2021-05-19,672.0,702.6,668.4,696.45,763.9,147.45,SUPPETRO
2021-05-18,701.0,706.8,665.05,668.1,763.9,147.45,SUPPETRO
2021-05-17,719.8,719.8,669.7,694.85,763.9,147.45,SUPPETRO
2021-05-14,715.0,719.0,694.5,699.35,763.9,147.45,SUPPETRO
2021-05-12,717.9,719.95,704.0,709.35,763.9,147.45,SUPPETRO
2021-05-11,708.8,725.0,700.0,704.95,763.9,147.45,SUPPETRO
2021-05-10,713.15,722.9,698.0,702.0,763.9,147.45,SUPPETRO
2021-05-07,715.0,730.0,711.0,713.15,763.9,145.0,SUPPETRO
2021-05-06,703.0,730.0,702.0,714.25,763.9,145.0,SUPPETRO
2021-05-05,706.8,714.7,688.0,694.05,763.9,145.0,SUPPETRO
2021-05-04,730.0,731.5,688.0,689.8,763.9,145.0,SUPPETRO
2021-05-03,744.0,763.9,693.65,728.05,763.9,145.0,SUPPETRO
2021-04-30,690.0,735.0,630.1,727.8,735.0,141.6,SUPPETRO
2021-04-29,695.0,708.9,687.0,691.8,720.0,141.6,SUPPETRO
2021-04-28,712.0,712.0,685.0,694.9,720.0,141.6,SUPPETRO
2021-04-27,694.8,720.0,682.75,699.15,720.0,141.6,SUPPETRO
2021-04-26,670.9,700.0,651.55,683.8,700.0,141.6,SUPPETRO
2021-04-23,666.0,672.3,637.0,649.45,696.9,135.05,SUPPETRO
2021-04-22,639.4,696.9,631.5,661.75,696.9,135.05,SUPPETRO
2021-04-20,586.8,672.0,585.1,639.4,672.0,135.05,SUPPETRO
2021-04-19,520.0,592.0,495.0,583.9,592.0,135.05,SUPPETRO
2021-04-16,511.0,525.05,498.5,516.6,538.5,134.8,SUPPETRO
2021-04-15,488.85,515.0,476.9,503.3,538.5,134.8,SUPPETRO
2021-04-13,507.0,514.8,490.1,497.8,538.5,134.8,SUPPETRO
2021-04-12,491.55,538.5,480.0,484.95,538.5,134.8,SUPPETRO
2021-04-09,495.0,502.5,490.55,498.75,502.5,129.25,SUPPETRO
2021-04-08,470.3,495.0,470.3,489.1,495.0,129.25,SUPPETRO
2021-04-07,464.9,472.0,459.0,469.45,472.0,129.25,SUPPETRO
2021-04-06,425.9,463.85,425.9,459.25,463.85,129.25,SUPPETRO
2021-04-05,429.0,429.0,412.75,423.75,448.2,129.25,SUPPETRO
2021-04-01,416.05,424.05,416.05,422.0,448.2,121.25,SUPPETRO
2021-03-31,415.0,420.0,412.0,417.95,448.2,121.25,SUPPETRO
2021-03-30,407.0,421.0,405.0,408.2,448.2,121.25,SUPPETRO
2021-03-26,404.0,414.2,404.0,405.9,448.2,116.55,SUPPETRO
2021-03-25,411.6,422.8,392.0,401.05,448.2,116.55,SUPPETRO
2021-03-24,422.4,428.0,415.8,416.6,448.2,116.55,SUPPETRO
2021-03-23,423.0,426.3,419.1,422.4,448.2,116.55,SUPPETRO
2021-03-22,417.9,430.0,413.0,421.05,448.2,116.55,SUPPETRO
2021-03-19,414.0,425.65,405.1,416.9,448.2,115.0,SUPPETRO
2021-03-18,429.7,437.65,412.25,417.6,448.2,115.0,SUPPETRO
