DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,368.4,373.1,355.25,361.05,430.0,273.45,SUBROS
2021-11-11,379.45,383.95,365.0,368.4,430.0,273.45,SUBROS
2021-11-10,376.3,393.0,375.55,378.6,430.0,273.45,SUBROS
2021-11-09,380.0,389.15,375.3,378.95,430.0,273.45,SUBROS
2021-11-08,382.75,383.5,373.75,380.1,430.0,273.45,SUBROS
2021-11-04,384.0,385.9,377.0,380.8,430.0,272.75,SUBROS
2021-11-03,370.65,384.0,370.6,380.45,430.0,272.75,SUBROS
2021-11-02,367.0,374.5,360.35,370.65,430.0,272.75,SUBROS
2021-11-01,362.0,365.95,354.05,360.55,430.0,272.75,SUBROS
2021-10-29,363.8,366.9,351.0,361.15,430.0,258.0,SUBROS
2021-10-28,369.8,369.8,350.0,360.35,430.0,258.0,SUBROS
2021-10-27,381.9,388.75,355.55,369.75,430.0,258.0,SUBROS
2021-10-26,352.6,391.0,352.0,380.0,430.0,258.0,SUBROS
2021-10-25,396.0,430.0,346.0,352.6,430.0,258.0,SUBROS
2021-10-22,350.0,390.0,350.0,384.15,392.95,238.0,SUBROS
2021-10-21,347.1,358.0,347.1,351.85,392.95,238.0,SUBROS
2021-10-20,340.0,348.25,327.1,345.35,392.95,238.0,SUBROS
2021-10-19,356.15,366.0,338.0,341.35,392.95,238.0,SUBROS
2021-10-18,364.75,367.4,353.95,357.4,392.95,238.0,SUBROS
2021-10-14,379.0,380.1,360.0,361.65,392.95,229.6,SUBROS
2021-10-13,386.0,392.95,370.0,375.1,392.95,229.6,SUBROS
2021-10-12,345.0,388.0,345.0,381.2,388.0,229.6,SUBROS
2021-10-11,365.0,365.0,348.0,349.5,372.0,229.6,SUBROS
2021-10-08,335.5,372.0,335.5,364.05,372.0,229.6,SUBROS
2021-10-07,327.55,335.0,321.65,333.0,364.9,229.6,SUBROS
2021-10-06,325.9,335.3,321.35,325.3,364.9,229.6,SUBROS
2021-10-05,330.6,333.4,323.05,326.45,364.9,229.6,SUBROS
2021-10-04,332.9,338.8,328.0,330.6,364.9,229.6,SUBROS
2021-10-01,329.8,344.7,320.3,332.95,364.9,229.6,SUBROS
2021-09-30,336.55,339.9,325.45,328.5,364.9,229.6,SUBROS
2021-09-29,343.0,346.4,333.55,337.7,364.9,229.6,SUBROS
2021-09-28,343.95,354.15,327.2,346.4,364.9,229.6,SUBROS
2021-09-27,326.7,346.05,326.7,342.65,364.9,229.6,SUBROS
2021-09-24,331.0,332.95,317.6,325.05,364.9,229.0,SUBROS
2021-09-23,304.0,333.0,304.0,330.6,364.9,229.0,SUBROS
2021-09-22,305.5,306.85,301.0,303.4,364.9,229.0,SUBROS
2021-09-21,305.45,307.8,299.5,303.95,364.9,229.0,SUBROS
2021-09-20,310.0,313.0,305.1,305.45,364.9,229.0,SUBROS
2021-09-17,313.5,315.5,309.0,310.35,364.9,229.0,SUBROS
2021-09-16,313.5,315.8,312.0,312.7,364.9,229.0,SUBROS
2021-09-15,308.75,314.9,308.75,312.4,364.9,229.0,SUBROS
2021-09-14,307.0,312.0,306.1,307.5,364.9,229.0,SUBROS
2021-09-13,315.0,315.0,305.5,306.95,364.9,229.0,SUBROS
2021-09-09,302.05,314.0,300.5,309.9,364.9,228.05,SUBROS
2021-09-08,307.0,307.0,302.25,303.95,364.9,228.05,SUBROS
2021-09-07,309.3,311.5,303.65,305.45,364.9,228.05,SUBROS
2021-09-06,308.0,312.1,305.0,307.75,364.9,228.05,SUBROS
2021-09-03,312.55,314.95,309.0,309.7,364.9,228.05,SUBROS
2021-09-02,310.0,314.0,310.0,310.95,364.9,228.05,SUBROS
2021-09-01,310.0,315.8,309.5,310.7,364.9,228.05,SUBROS
2021-08-31,312.0,316.2,312.0,313.25,364.9,228.05,SUBROS
2021-08-30,316.0,322.8,312.85,314.6,364.9,228.05,SUBROS
2021-08-27,310.5,315.0,307.15,311.8,364.9,228.05,SUBROS
2021-08-26,307.0,315.0,307.0,311.1,364.9,228.05,SUBROS
2021-08-25,318.0,318.85,307.0,308.0,364.9,228.05,SUBROS
2021-08-24,295.0,316.0,295.0,313.7,364.9,228.05,SUBROS
2021-08-23,313.8,317.35,295.0,301.55,364.9,228.05,SUBROS
2021-08-20,315.0,322.5,306.0,312.2,364.9,210.4,SUBROS
2021-08-18,330.0,331.0,314.2,316.55,364.9,210.4,SUBROS
2021-08-17,315.0,327.5,313.15,325.15,364.9,210.4,SUBROS
2021-08-16,329.95,329.95,312.1,314.2,364.9,210.4,SUBROS
2021-08-13,325.6,329.0,320.0,321.65,364.9,191.3,SUBROS
2021-08-12,307.0,327.7,307.0,323.95,364.9,191.3,SUBROS
2021-08-11,309.85,311.5,293.95,306.2,364.9,191.3,SUBROS
2021-08-10,320.55,320.75,305.0,309.85,364.9,191.3,SUBROS
2021-08-09,329.0,331.35,318.0,318.95,364.9,191.3,SUBROS
2021-08-06,318.0,333.95,318.0,326.45,364.9,177.6,SUBROS
2021-08-05,338.5,338.9,318.0,323.85,364.9,177.6,SUBROS
2021-08-04,356.95,364.9,334.0,338.15,364.9,177.6,SUBROS
2021-08-03,328.3,358.0,325.2,350.65,364.9,177.6,SUBROS
2021-08-02,329.0,332.0,325.0,326.65,364.9,177.6,SUBROS
2021-07-30,325.1,329.55,323.95,326.9,364.9,167.05,SUBROS
2021-07-29,328.5,335.0,320.15,325.1,364.9,167.05,SUBROS
2021-07-28,334.9,335.35,323.0,326.85,364.9,167.05,SUBROS
2021-07-27,317.6,335.8,316.2,329.85,364.9,167.05,SUBROS
2021-07-26,320.65,320.8,314.55,316.0,364.9,167.05,SUBROS
2021-07-23,317.25,322.8,315.5,319.05,364.9,163.5,SUBROS
2021-07-22,317.0,320.95,314.0,317.2,364.9,163.5,SUBROS
2021-07-20,324.5,327.95,314.7,315.9,364.9,163.5,SUBROS
2021-07-19,334.0,334.0,321.9,324.6,364.9,163.5,SUBROS
2021-07-16,338.0,339.0,331.4,333.1,364.9,161.25,SUBROS
2021-07-15,322.0,333.5,322.0,332.0,364.9,161.25,SUBROS
2021-07-14,339.7,342.0,325.1,328.6,364.9,161.25,SUBROS
2021-07-13,328.0,339.4,327.0,337.0,364.9,161.25,SUBROS
2021-07-12,316.1,331.95,315.0,325.5,364.9,161.25,SUBROS
2021-07-09,318.95,321.1,315.0,316.1,364.9,161.25,SUBROS
2021-07-08,322.6,325.2,316.25,317.35,364.9,161.25,SUBROS
2021-07-07,327.65,336.3,317.0,320.0,364.9,161.25,SUBROS
2021-07-06,314.15,327.45,313.15,325.1,364.9,161.25,SUBROS
2021-07-05,316.8,317.7,310.8,312.55,364.9,161.25,SUBROS
