DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,601.0,625.75,595.1,601.35,752.95,415.0,MAZDA
2021-10-28,625.95,638.35,600.0,608.5,752.95,415.0,MAZDA
2021-10-27,643.15,644.8,620.3,629.4,752.95,415.0,MAZDA
2021-10-26,639.25,639.25,620.15,628.8,752.95,415.0,MAZDA
2021-10-25,630.1,630.1,606.05,616.65,752.95,415.0,MAZDA
2021-10-22,633.75,645.75,620.05,627.7,752.95,415.0,MAZDA
2021-10-21,645.0,660.55,626.15,641.95,752.95,415.0,MAZDA
2021-10-20,651.0,654.0,636.0,640.6,752.95,415.0,MAZDA
2021-10-19,669.25,679.95,646.0,654.75,752.95,415.0,MAZDA
2021-10-18,685.0,685.0,664.0,669.05,752.95,415.0,MAZDA
2021-10-14,675.2,683.95,666.0,674.9,752.95,415.0,MAZDA
2021-10-13,682.0,694.85,667.5,669.8,752.95,415.0,MAZDA
2021-10-12,675.1,684.8,668.0,678.0,752.95,415.0,MAZDA
2021-10-11,698.25,698.25,664.05,674.7,752.95,415.0,MAZDA
2021-10-08,703.6,723.75,685.25,687.9,752.95,415.0,MAZDA
2021-10-07,667.85,727.35,656.8,703.6,752.95,415.0,MAZDA
2021-10-06,671.1,673.0,655.0,667.8,752.95,415.0,MAZDA
2021-10-05,679.9,679.9,656.95,666.75,752.95,415.0,MAZDA
2021-10-04,682.0,689.75,666.55,669.5,752.95,415.0,MAZDA
2021-10-01,681.0,690.05,667.05,678.85,752.95,415.0,MAZDA
2021-09-30,673.0,684.8,672.0,674.85,752.95,415.0,MAZDA
2021-09-29,660.0,671.9,653.1,668.85,752.95,415.0,MAZDA
2021-09-28,665.35,677.4,661.05,668.45,752.95,415.0,MAZDA
2021-09-27,675.0,686.55,653.6,672.55,752.95,415.0,MAZDA
2021-09-24,655.0,685.0,650.0,671.45,752.95,415.0,MAZDA
2021-09-23,650.0,666.0,639.6,650.05,752.95,415.0,MAZDA
2021-09-22,664.3,665.5,643.0,655.65,752.95,415.0,MAZDA
2021-09-21,640.0,667.05,621.0,656.0,752.95,415.0,MAZDA
2021-09-20,659.95,659.95,633.3,641.95,752.95,415.0,MAZDA
2021-09-17,689.0,693.9,654.0,663.45,752.95,401.1,MAZDA
2021-09-16,737.0,737.0,675.55,686.75,752.95,401.1,MAZDA
2021-09-15,629.8,745.95,620.0,736.95,752.95,401.1,MAZDA
2021-09-14,624.9,626.0,601.0,621.65,752.95,401.1,MAZDA
2021-09-13,600.0,615.0,599.0,608.8,752.95,401.1,MAZDA
2021-09-09,603.0,607.5,592.6,602.7,752.95,378.0,MAZDA
2021-09-08,598.5,603.15,592.0,597.15,752.95,378.0,MAZDA
2021-09-07,618.8,619.0,600.55,603.15,752.95,378.0,MAZDA
2021-09-06,610.0,619.95,602.35,609.95,752.95,378.0,MAZDA
2021-09-03,620.0,620.0,597.85,602.1,752.95,371.35,MAZDA
2021-09-02,594.15,626.95,588.65,606.2,752.95,371.35,MAZDA
2021-09-01,600.05,600.05,581.2,594.15,752.95,371.35,MAZDA
2021-08-31,612.0,617.9,583.0,592.6,752.95,371.35,MAZDA
2021-08-30,615.5,623.85,606.35,611.85,752.95,371.35,MAZDA
2021-08-27,598.4,621.55,591.55,615.5,752.95,371.35,MAZDA
2021-08-26,562.95,636.0,562.85,598.4,752.95,371.35,MAZDA
