DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-08,145.9,148.35,144.5,146.05,358.0,115.1,REDINGTON
2021-10-07,146.6,148.5,144.25,144.85,358.0,115.1,REDINGTON
2021-10-06,149.0,150.7,144.05,145.0,358.0,115.1,REDINGTON
2021-10-05,146.5,150.7,145.0,148.75,358.0,115.1,REDINGTON
2021-10-04,145.8,148.2,144.3,146.4,358.0,115.1,REDINGTON
2021-10-01,140.5,145.45,140.4,144.6,358.0,114.35,REDINGTON
2021-09-30,145.0,145.0,138.55,139.4,358.0,114.35,REDINGTON
2021-09-29,144.9,145.45,143.5,144.3,358.0,114.35,REDINGTON
2021-09-28,142.2,145.15,142.2,144.9,358.0,114.35,REDINGTON
2021-09-27,146.0,146.0,141.5,142.45,358.0,114.35,REDINGTON
2021-09-24,145.0,145.6,143.0,144.35,358.0,107.1,REDINGTON
2021-09-23,144.2,145.25,142.55,144.05,358.0,107.1,REDINGTON
2021-09-22,141.5,145.0,139.0,143.65,358.0,107.1,REDINGTON
2021-09-21,138.8,141.45,137.5,140.6,358.0,107.1,REDINGTON
2021-09-20,143.2,143.55,137.2,138.6,358.0,107.1,REDINGTON
2021-09-17,146.5,147.0,141.75,143.4,358.0,107.1,REDINGTON
2021-09-16,143.2,146.5,141.35,145.15,358.0,107.1,REDINGTON
2021-09-15,145.0,145.75,141.1,142.95,358.0,107.1,REDINGTON
2021-09-14,151.7,152.95,143.0,144.15,358.0,107.1,REDINGTON
2021-09-13,146.95,148.7,143.7,145.4,358.0,107.1,REDINGTON
2021-09-09,143.85,150.85,141.75,145.45,358.0,107.1,REDINGTON
2021-09-08,138.0,143.35,138.0,141.75,358.0,107.1,REDINGTON
2021-09-07,141.15,142.85,136.2,136.85,358.0,107.1,REDINGTON
2021-09-06,144.25,145.4,139.5,141.15,358.0,107.1,REDINGTON
2021-09-03,147.0,147.75,143.5,144.25,358.0,106.0,REDINGTON
2021-09-02,149.85,150.5,146.4,147.0,358.0,106.0,REDINGTON
2021-09-01,156.0,158.15,149.5,149.85,358.0,106.0,REDINGTON
2021-08-31,149.75,156.8,145.8,154.25,358.0,106.0,REDINGTON
2021-08-30,153.0,153.85,148.0,149.75,358.0,106.0,REDINGTON
2021-08-27,149.95,157.15,149.4,152.65,358.0,106.0,REDINGTON
2021-08-26,152.75,155.0,148.5,150.25,358.0,106.0,REDINGTON
2021-08-25,152.15,154.65,149.0,150.25,358.0,106.0,REDINGTON
2021-08-24,148.0,151.95,147.0,149.9,358.0,106.0,REDINGTON
2021-08-23,160.0,160.95,149.5,150.35,358.0,106.0,REDINGTON
2021-08-20,165.0,165.0,157.0,159.2,358.0,104.75,REDINGTON
2021-08-18,165.0,175.0,162.65,164.55,358.0,104.75,REDINGTON
2021-08-17,341.95,341.95,328.0,329.3,358.0,104.75,REDINGTON
2021-08-16,354.85,355.0,341.05,342.75,358.0,104.75,REDINGTON
2021-08-13,344.0,351.8,336.0,346.45,358.0,87.35,REDINGTON
2021-08-12,325.0,332.2,325.0,330.2,358.0,87.35,REDINGTON
2021-08-11,322.0,323.0,305.0,320.05,358.0,87.35,REDINGTON
2021-08-10,327.55,328.0,317.5,322.0,358.0,87.35,REDINGTON
2021-08-09,336.5,336.8,324.3,327.3,358.0,87.35,REDINGTON
2021-08-06,320.8,336.7,320.0,330.8,358.0,86.75,REDINGTON
2021-08-05,325.3,328.0,316.85,320.15,358.0,86.75,REDINGTON
2021-08-04,330.1,332.95,325.0,327.6,358.0,86.75,REDINGTON
2021-08-03,331.0,334.0,328.85,329.95,358.0,86.75,REDINGTON
2021-08-02,333.25,334.95,327.25,330.7,358.0,86.75,REDINGTON
2021-07-30,324.3,334.1,324.05,327.25,358.0,85.55,REDINGTON
2021-07-29,323.0,327.0,318.3,324.7,358.0,85.55,REDINGTON
2021-07-28,321.0,321.0,313.95,319.95,358.0,85.55,REDINGTON
2021-07-27,322.0,324.0,315.05,318.1,358.0,85.55,REDINGTON
2021-07-26,328.75,328.75,317.05,320.9,358.0,85.55,REDINGTON
2021-07-23,326.65,327.5,318.0,322.2,358.0,85.55,REDINGTON
2021-07-22,318.0,328.45,316.95,321.55,358.0,85.55,REDINGTON
2021-07-20,318.1,320.0,303.5,313.9,358.0,85.55,REDINGTON
2021-07-19,326.1,328.6,319.05,320.15,358.0,85.55,REDINGTON
