DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-01-12,32.4,33.0,32.2,32.75,43.35,27.1,SRPL
2021-01-11,32.35,33.0,32.0,32.4,43.35,27.1,SRPL
2021-01-08,31.9,32.85,31.6,32.35,43.35,27.1,SRPL
2021-01-07,32.0,32.15,32.0,32.0,43.35,27.1,SRPL
2021-01-06,33.0,33.45,31.95,32.35,43.35,27.1,SRPL
2021-01-05,32.75,33.0,30.1,32.35,43.35,27.1,SRPL
2021-01-04,31.7,33.0,29.15,30.85,43.35,27.1,SRPL
2021-01-01,29.0,30.9,29.0,30.2,43.35,27.1,SRPL
2020-12-31,29.9,30.0,27.1,29.75,43.35,27.1,SRPL
2020-12-30,30.8,30.8,29.5,29.9,43.35,29.1,SRPL
2020-12-29,31.0,31.3,29.5,29.55,43.35,29.1,SRPL
2020-12-28,31.9,31.95,30.45,31.1,43.35,29.1,SRPL
2020-12-24,32.0,33.0,30.55,30.95,43.35,29.1,SRPL
2020-12-23,33.0,33.0,31.1,32.35,43.35,29.1,SRPL
2020-12-22,31.85,33.0,30.1,32.35,43.35,29.1,SRPL
2020-12-21,32.5,34.0,31.0,32.25,43.35,29.1,SRPL
2020-12-18,33.45,33.9,32.0,32.3,43.35,29.1,SRPL
2020-12-17,34.9,34.95,31.15,32.2,43.35,29.1,SRPL
2020-12-16,30.85,31.4,30.45,31.35,43.35,29.1,SRPL
2020-12-15,31.0,31.5,29.1,30.4,43.35,29.1,SRPL
2020-12-14,30.95,30.95,30.1,30.9,43.35,29.75,SRPL
2020-12-11,31.5,31.65,30.0,30.95,43.35,29.75,SRPL
2020-12-10,31.0,31.55,30.2,30.25,43.35,29.75,SRPL
2020-12-09,31.0,31.5,30.5,30.5,43.35,29.75,SRPL
2020-12-08,31.0,31.5,30.25,30.35,43.35,29.75,SRPL
2020-12-07,31.25,31.75,30.5,31.0,43.35,29.75,SRPL
2020-12-04,31.9,31.9,30.05,30.35,43.35,29.75,SRPL
2020-12-03,30.3,31.25,30.15,30.3,43.35,29.75,SRPL
2020-12-02,31.05,32.7,30.05,30.25,43.35,29.75,SRPL
2020-12-01,31.05,32.35,30.8,30.9,43.35,29.75,SRPL
2020-11-27,32.0,32.5,30.6,31.5,43.35,29.75,SRPL
2020-11-26,31.3,32.8,30.6,32.0,43.35,29.75,SRPL
2020-11-25,31.95,32.0,30.35,31.25,43.35,29.75,SRPL
2020-11-24,30.35,32.8,30.35,30.5,43.35,29.75,SRPL
2020-11-23,30.3,36.9,30.3,30.65,43.35,29.75,SRPL
2020-11-20,33.0,33.6,30.0,31.0,43.35,29.75,SRPL
2020-11-19,31.05,32.1,30.25,30.95,43.35,29.75,SRPL
2020-11-18,32.1,32.2,31.2,31.2,43.35,29.75,SRPL
2020-11-17,33.5,33.5,31.0,32.1,43.35,29.75,SRPL
2020-11-14,32.0,33.5,32.0,33.5,43.35,29.75,SRPL
2020-11-13,32.05,33.45,32.0,32.0,43.35,29.75,SRPL
2020-11-12,31.6,33.95,31.0,31.15,43.35,29.75,SRPL
2020-11-11,33.1,33.85,32.1,32.25,43.35,29.75,SRPL
2020-11-10,33.05,33.65,32.0,33.0,43.35,29.75,SRPL
2020-11-09,33.5,33.8,31.05,32.6,43.35,29.75,SRPL
2020-11-06,34.15,34.15,32.0,32.6,43.35,29.75,SRPL
2020-11-05,32.95,33.9,32.95,33.7,43.35,29.75,SRPL
2020-11-04,32.55,34.0,32.5,33.9,43.35,29.75,SRPL
2020-11-03,32.75,33.05,32.05,32.5,43.35,29.75,SRPL
2020-11-02,32.8,32.85,31.6,32.75,43.35,29.75,SRPL
2020-10-30,32.5,33.9,32.5,33.0,43.35,29.75,SRPL
2020-10-29,30.0,34.9,30.0,32.5,43.35,29.75,SRPL
2020-10-28,31.55,31.85,30.0,30.2,43.35,29.75,SRPL
2020-10-27,31.6,32.0,31.05,31.95,43.35,29.75,SRPL
2020-10-26,30.85,34.0,30.65,31.6,43.35,29.75,SRPL
2020-10-23,32.4,32.9,32.05,32.05,43.35,29.75,SRPL
2020-10-22,33.0,33.0,32.0,32.4,43.35,29.75,SRPL
2020-10-21,32.1,32.95,32.0,32.0,43.35,29.75,SRPL
2020-10-20,32.5,32.65,32.0,32.1,43.35,29.75,SRPL
2020-10-19,33.0,33.1,32.5,32.5,43.35,29.75,SRPL
2020-10-16,32.0,33.3,32.0,33.0,43.35,29.75,SRPL
2020-10-15,32.0,33.75,32.0,32.0,43.35,29.75,SRPL
2020-10-14,34.8,34.8,32.1,32.2,43.35,29.75,SRPL
2020-10-13,35.0,35.25,32.0,32.2,43.35,29.75,SRPL
2020-10-12,32.7,37.0,32.0,32.05,43.35,29.75,SRPL
2020-10-09,32.0,33.25,32.0,32.0,43.35,29.75,SRPL
2020-10-08,33.7,33.7,32.5,32.55,43.35,29.75,SRPL
2020-10-07,33.75,33.8,32.15,33.8,43.35,29.75,SRPL
2020-10-06,32.7,33.95,29.75,32.15,43.35,29.75,SRPL
2020-10-05,32.4,32.95,32.0,32.8,43.35,31.05,SRPL
2020-10-01,33.75,33.75,31.05,32.05,43.35,31.05,SRPL
2020-09-30,33.95,34.0,33.75,33.9,43.35,32.25,SRPL
2020-09-29,33.2,34.6,32.25,33.95,43.35,32.25,SRPL
2020-09-28,40.5,40.5,35.0,35.15,43.35,35.0,SRPL
2020-09-25,41.5,43.0,37.1,37.2,43.35,37.1,SRPL
2020-09-24,43.35,43.35,39.5,39.55,43.35,39.25,SRPL
2020-09-23,39.45,39.45,39.25,39.45,39.45,39.25,SRPL
