DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,3580.0,3663.0,3576.0,3636.0,4245.5,2093.0,LALPATHLAB
2021-11-11,3610.0,3616.1,3511.0,3572.0,4245.5,2093.0,LALPATHLAB
2021-11-10,3645.0,3690.0,3610.05,3635.75,4245.5,2093.0,LALPATHLAB
2021-11-09,3648.7,3683.1,3602.85,3645.2,4245.5,2093.0,LALPATHLAB
2021-11-08,3640.0,3673.0,3582.1,3654.3,4245.5,2093.0,LALPATHLAB
2021-11-04,3664.9,3664.9,3624.55,3639.5,4245.5,2093.0,LALPATHLAB
2021-11-03,3620.0,3655.0,3581.2,3617.2,4245.5,2093.0,LALPATHLAB
2021-11-02,3651.0,3670.55,3560.55,3600.15,4245.5,2093.0,LALPATHLAB
2021-11-01,3486.0,3661.7,3486.0,3651.0,4245.5,2093.0,LALPATHLAB
2021-10-29,3530.0,3579.5,3487.75,3508.85,4245.5,2093.0,LALPATHLAB
2021-10-28,3549.9,3607.95,3481.0,3574.25,4245.5,2093.0,LALPATHLAB
2021-10-27,3575.0,3692.8,3451.1,3512.75,4245.5,2093.0,LALPATHLAB
2021-10-26,3493.55,3579.0,3416.05,3556.45,4245.5,2093.0,LALPATHLAB
2021-10-25,3435.0,3515.55,3285.1,3493.55,4245.5,2093.0,LALPATHLAB
2021-10-22,3549.9,3549.9,3348.05,3383.35,4245.5,2060.1,LALPATHLAB
2021-10-21,3535.05,3580.95,3490.0,3518.5,4245.5,2060.1,LALPATHLAB
2021-10-20,3700.0,3714.8,3512.5,3526.6,4245.5,2060.1,LALPATHLAB
2021-10-19,3610.0,3718.3,3607.15,3697.0,4245.5,2060.1,LALPATHLAB
2021-10-18,3699.9,3700.0,3600.0,3607.1,4245.5,2060.1,LALPATHLAB
2021-10-14,3780.0,3780.0,3675.0,3683.3,4245.5,2010.95,LALPATHLAB
2021-10-13,3705.9,3782.7,3699.05,3772.2,4245.5,2010.95,LALPATHLAB
2021-10-12,3680.0,3744.1,3663.1,3689.25,4245.5,2010.95,LALPATHLAB
2021-10-11,3683.0,3738.0,3650.0,3696.25,4245.5,2010.95,LALPATHLAB
2021-10-08,3714.0,3714.1,3652.0,3671.9,4245.5,1859.05,LALPATHLAB
2021-10-07,3760.0,3783.2,3674.05,3686.45,4245.5,1859.05,LALPATHLAB
2021-10-06,3782.45,3800.0,3685.0,3704.95,4245.5,1859.05,LALPATHLAB
2021-10-05,3759.5,3784.7,3715.05,3775.1,4245.5,1859.05,LALPATHLAB
2021-10-04,3710.0,3772.0,3644.0,3762.7,4245.5,1859.05,LALPATHLAB
2021-10-01,3677.0,3720.0,3632.9,3707.05,4245.5,1816.3,LALPATHLAB
2021-09-30,3732.55,3756.5,3650.0,3676.8,4245.5,1816.3,LALPATHLAB
2021-09-29,3600.0,3732.55,3573.2,3723.7,4245.5,1816.3,LALPATHLAB
2021-09-28,3797.0,3821.45,3600.0,3643.95,4245.5,1816.3,LALPATHLAB
2021-09-27,3909.0,3915.0,3751.0,3796.9,4245.5,1816.3,LALPATHLAB
